name,field,phone,address,zip,city
ARISTA CENTER,Mental Health Services,718-793-3133,"11020 71ST RD, FOREST HILLS, NY, 11375",11375,FOREST HILLS
ABBOTT HOUSE,Mental Health Services,718-329-4968,"ABBOTT HOUSE 1775 GRAND CONCOURSE, BRONX, NY, 10453",10453,BRONX
MOUNT HOPE FAMILY PRACTICE,Mental Health Services,718-583-9000,"130 W TREMONT AVE, BRONX, NY, 10453",10453,BRONX
ADVANCED HUMAN SERVICES INC,Mental Health Services,718-261-3437,"11215 72ND RD STE LL1, FOREST HILLS, NY, 11375",11375,FOREST HILLS
FEDERATION OF ORGANIZATIONS,Mental Health Services,718-850-7099,"FED OF ORGANIZATION 10501 101ST AVE, OZONE PARK, NY, 11416",11416,OZONE PARK
MEDEX DIAGNOSTIC & TREATMENT CTR,Mental Health Services,718-275-8900,"111-29 QUEENS BLVD, FOREST HILLS, NY, 11375",11375,FOREST HILLS
BROOKLYN CTR FOR FAMILIES IN CRISIS,Mental Health Services,718-282-0010,"1309 FOSTER AVE # 1311, BROOKLYN, NY, 11230",11230,BROOKLYN
PSCH INC,Mental Health Services,347-542-5658,"DBA WELLLIFE NETWORK 35 BAY RIDGE AVE, BROOKLYN, NY, 11220",11220,BROOKLYN
WALTON FAMILY HEALTH CENTER,Mental Health Services,718-583-3060,"1894 WALTON AVE, BRONX, NY, 10453",10453,BRONX
OHEL CHILDRENS HOME AND FAMILY,Mental Health Services,718-686-3400,"6023 FORT HAMILTON PKWY, BROOKLYN, NY, 11219",11219,BROOKLYN
PESACH TIKVAH HOPE DEVLOPMENT,Mental Health Services,718-875-6900,"PESACH TIKVAH HOPE DEVELO 18 MIDDLETON ST, BROOKLYN, NY, 11206",11206,BROOKLYN
PREMIUM HEALTH INC,Mental Health Services,718-407-7300,"620 FOSTER AVE FL 2, BROOKLYN, NY, 11230",11230,BROOKLYN
PREMIUM HEALTH CTR,Mental Health Services,718-407-7300,"PREMIUM HELATH CENTER 5506 15TH AVE, BROOKLYN, NY, 11219",11219,BROOKLYN
TH CENTER H METRO COMMUNITY HEAL,Mental Health Services,718-665-7565,"979 CROSS BRONX EXPY, BRONX, NY, 10460",10460,BRONX
ODYSSEY HOUSE INC,Mental Health Services,212-361-1694,"OH ROCS RECOVERY CTR 2038 DAVIDSON AVE, BRONX, NY, 10453",10453,BRONX
MORRIS HEIGHTS HLTH CTR MENT HLTH,Mental Health Services,718-839-8900,"MENTAL HEALTH 25 E 183RD ST, BRONX, NY, 10453",10453,BRONX
MORRIS HEIGHTS HEALTH CTR INC,Mental Health Services,718-839-8900,"MHHC HARRISON CIRCLE 57 W BURNSIDE AVE # 69, BRONX, NY, 10453",10453,BRONX
THE CHILD CENTER OF NEWYORK,Mental Health Services,718-358-8285,"THE CHILD CENTER OF NY 14015B SANFORD AVE, FLUSHING, NY, 11355",11355,FLUSHING
JEWISH CHILD CARE ASSOCIATION,Mental Health Services,347-293-4100,"858 E 29TH ST, BROOKLYN, NY, 11210",11210,BROOKLYN
ROAD 2 RECOVERY,Mental Health Services,516-408-8849,"BCA 1012 AVENUE I, BROOKLYN, NY, 11230",11230,BROOKLYN
HAND IN HAND FAMILY SERVICES LTD,Mental Health Services,718-336-6073,"1527 60 ST, BROOKLYN, NY, 11219",11219,BROOKLYN
THE RESOURCE TRAINING CENTER,Mental Health Services,718-833-3320,"408 77TH ST, BROOKLYN, NY, 11209",11209,BROOKLYN
WELLLIFE NETWORK INC,Mental Health Services,347-886-7321,"WELL LIFE NETWORK 507 BEACH 64TH ST, FAR ROCKAWAY, NY, 11692",11692,FAR ROCKAWAY
COMM HEALTH ACTION OF STAT ISLAND,Mental Health Services,718-808-1300,"166 RICHMOND TER, STATEN ISLAND, NY, 10301",10301,STATEN ISLAND
FEDERATION OF ORG.,Mental Health Services,718-215-1952,"FED OF ORG FORENSIC ACT 11606 MYRTLE AVE, RICHMOND HILL, NY, 11418",11418,RICHMOND HILL
BERKSHIRE FARM CTR SVCS FOR YOUTH,Mental Health Services,718-220-4247,"POWER PROJECT 4419 3RD AVE STE 3C, BRONX, NY, 10457",10457,BRONX
URBAN HEALTH PLAN INC,Mental Health Services,718-364-7700,"VIDA GUIDANCE CENTER 4419 3RD AVE, BRONX, NY, 10457",10457,BRONX
RISING GROUND,Mental Health Services,718-438-7938,"BROWNELL 450 CASTLE HILL AVE, BRONX, NY, 10473",10473,BRONX
THE YALDEINU SCHOOL,Mental Health Services,718-851-0123,"1600 63RD ST, BROOKLYN, NY, 11204",11204,BROOKLYN
INWOOD COMMUNITY SVC INC,"Mental Health Services, Substance Abuse Outpatient",212-942-0043,"651 ACADEMY ST, NEW YORK, NY, 10034",10034,NEW YORK
CATHOLIC GAURDIAN SERVICES,Mental Health Services,718-792-9937,"CATHOLIC GUARDIAN SVCS 1990 WESTCHESTER AVE, BRONX, NY, 10462",10462,BRONX
PROJECT HOSPITALITY WELLNESS CTR,Mental Health Services,718-273-8409,"THE WELLNESS CENTER 14 SLOSSON TER, STATEN ISLAND, NY, 10301",10301,STATEN ISLAND
THE CHILD CTR OF NYCINC,Mental Health Services,718-651-7770,"14726 25TH DR RM G1G, FLUSHING, NY, 11354",11354,FLUSHING
RICHMOND UNIVERSITY MEDICAL CENTER,Mental Health Services,718-720-6727,"STATEN ISLAND MENTAL HLTH 444 SAINT MARKS PL, STATEN ISLAND, NY, 10301",10301,STATEN ISLAND
STATEN ISLAND MENTALHEALTH SOCIETY,Mental Health Services,718-720-6727,"444 SAINT MARKS PL, STATEN ISLAND, NY, 10301",10301,STATEN ISLAND
NEIGHBORHOOD COUNSELING CENTER,"Mental Health Services, Substance Abuse Outpatient",718-232-1351,"7701 13TH AVE, BROOKLYN, NY, 11228",11228,BROOKLYN
SHELTERING ARMS CHILDREN & FAMILY S,Mental Health Services,718-847-1500,"SHELTERING ARMS CHILDREN 10714 LIBERTY AVE FL 2, OZONE PARK, NY, 11417",11417,OZONE PARK
GERIATRIC MENTAL HE ALT SERVICES,Mental Health Services,718-365-4044,"1 FORDHAM PLZ RM 908, BRONX, NY, 10458",10458,BRONX
SAINT DOMINIC'S FAMILY SERVICES,Mental Health Services,845-359-3400,"SAINT DOMINIC'S FAM SVCS 1 FORDHAM PLZ RM 901, BRONX, NY, 10458",10458,BRONX
KCS MENTAL HEALTH CLINIC,Mental Health Services,718-366-9540,"4216 162ND ST APT 2, FLUSHING, NY, 11358",11358,FLUSHING
NEW HORIZON COUNSELING CENTER,Mental Health Services,718-738-6800,"15628 CROSSBAY BLVD, HOWARD BEACH, NY, 11414",11414,HOWARD BEACH
VISING NURSES SERVICE OF NEW YORK,Mental Health Services,212-609-4105,"VNSNY BROOKLYN REG OFFICE 1630 E 15TH ST, BROOKLYN, NY, 11229",11229,BROOKLYN
SOUTH BEACH PSYCHIATRIC CTR,Mental Health Services,718-234-2144,"BENSONHURST ACT 8620 18TH AVE FL 1, BROOKLYN, NY, 11214",11214,BROOKLYN
TRANSITIONAL SVCS FOR NY,Mental Health Services,718-526-8400,"9027 SUTPHIN BLVD STE 5, JAMAICA, NY, 11435",11435,JAMAICA
VENTURE HOUSE INC,Mental Health Services,718-658-7201,"15010 HILLSIDE AVE, JAMAICA, NY, 11432",11432,JAMAICA
PROJECT HOSPITALITY,Mental Health Services,718-447-3296,"PREP 75 VANDERBILT AVE, STATEN ISLAND, NY, 10304",10304,STATEN ISLAND
SILVER LAKE COUNSELING SERVICES,Mental Health Services,718-815-3155,"SILVER LAKE COUNSEL SERV 201 FOREST AVE, STATEN ISLAND, NY, 10301",10301,STATEN ISLAND
JBFCS INC,Mental Health Services,844-663-2255,"750 ASTOR AVE, BRONX, NY, 10467",10467,BRONX
SEPHAROIC BIKUR HOLIM,Mental Health Services,718-787-1600,"DBA SBH COMM SVC NETWORK 1955 MCDONALD AVE, BROOKLYN, NY, 11223",11223,BROOKLYN
COMMUNITY HEALTHCARENETWORK INC,Mental Health Services,718-657-7088,"9704 SUTPHIN BLVD, JAMAICA, NY, 11435",11435,JAMAICA
RIVERDALE MH ASSOCIATE/MOSAIC,Mental Health Services,718-884-2900,"RMHA PARACHUTE 640 W 232ND ST, BRONX, NY, 10463",10463,BRONX
YMCA COUNSELING SVC,Mental Health Services,718-981-4382,"285 VANDERBILT AVE, STATEN ISLAND, NY, 10304",10304,STATEN ISLAND
BRONX PSYCHIATRIC CTR,Mental Health Services,718-944-7142,"ACT TEAM 3050 WHITE PLAINS RD FL 2, BRONX, NY, 10467",10467,BRONX
SAFE FOUNDATION INC,Mental Health Services,866-869-7233,"255 AVENUE W, BROOKLYN, NY, 11223",11223,BROOKLYN
ADVANCED CENTER FOR PSYCHOTHERAPY,Mental Health Services,718-658-1123,"17810 WEXFORD TER, JAMAICA, NY, 11432",11432,JAMAICA
COMM HLTH CENTER OF RICHMOND,Mental Health Services,718-876-1732,"235 PORT RICHMOND AVE, STATEN ISLAND, NY, 10302",10302,STATEN ISLAND
CAMELOT COUNSEL CTR S I NY INC,Mental Health Services,718-981-8117,"1268 FOREST AVE, STATEN ISLAND, NY, 10302",10302,STATEN ISLAND
JASA GERIATRIC MENTAL HEALTH,Mental Health Services,718-365-4044,"BRONX ARLINGTON GMHOS 5625 ARLINGTON AVE, BRONX, NY, 10471",10471,BRONX
PERSON CENTERED CARESERVICES,Mental Health Services,718-370-1088,"PEARSON CENTERED CARE SVC 150 GRANITE AVE, STATEN ISLAND, NY, 10303",10303,STATEN ISLAND
RIVERDALE MENTAL HE ALTH ASSOC,Mental Health Services,718-796-5300,"5676 RIVERDALE AVE, BRONX, NY, 10471",10471,BRONX
RIVERDALE MENTAL HEALTH CL,Mental Health Services,718-796-5300,"5676 RIVERDALE AVE, BRONX, NY, 10471",10471,BRONX
RIVERDALE MH ASSOC,Mental Health Services,718-796-5300,"5676 RIVERDALE AVE, BRONX, NY, 10471",10471,BRONX
SHELTERING ARMS CHILDREN FAM SVC INC,Mental Health Services,718-206-3440,"13325 GUY R BREWER BLV 75, JAMAICA, NY, 11434",11434,JAMAICA
THE JEWISH BD OF FAM& CHILD SVCS,Mental Health Services,718-370-2975,"STAT IS CHILD COMM RESID 19 VEDDER AVE, STATEN ISLAND, NY, 10314",10314,STATEN ISLAND
BEACON CHRISTAN COMMUNITY,Mental Health Services,718-815-6570,"2079 FOREST AVE, STATEN ISLAND, NY, 10303",10303,STATEN ISLAND
WESTCHESTER JEWISH COMM SERVIC INC,Mental Health Services,914-423-4433,"YONKERS FAM MENTAL HLTH 487 S BROADWAY, YONKERS, NY, 10705",10705,YONKERS
WESTCHESTER JEWISH COMMUNITY SRVCS,Mental Health Services,914-423-4433,"WJCS SATELLITE CL AT HRHC 503 S BROADWAY, YONKERS, NY, 10705",10705,YONKERS
NYS OASAS SOUTH BEACH ATC,"Mental Health Residential, Mental Health Services",718-667-2551,"777 SEAVIEW AVE, STATEN ISLAND, NY, 10305",10305,STATEN ISLAND
SIUH OUTPATIENT MENTAL HEALTH,Mental Health Services,718-226-8910,"450 SEAVIEW AVE, STATEN ISLAND, NY, 10305",10305,STATEN ISLAND
GATEWAY COUNSELING CENTER,Mental Health Services,718-325-5021,"735 E 239TH ST, BRONX, NY, 10466",10466,BRONX
OHEL CHILDREN HOME AND FAMILY,Mental Health Services,718-382-0045,"400 CASWELL AVE RM 2, STATEN ISLAND, NY, 10314",10314,STATEN ISLAND
LIFE DOME ADULT SERVICES,Mental Health Services,347-439-5772,"31 SOUTH ST STE 2N1, MOUNT VERNON, NY, 10550",10550,MOUNT VERNON
TRANSITIONAL SERVICEFOR NY INC,Mental Health Services,718-464-0375,"8045 WINCHESTER BLVDBLD20, QUEENS VILLAGE, NY, 11427",11427,QUEENS VILLAGE
THE GUIDANCE CENTER OF WESTCHESTER,Mental Health Services,914-613-0700,"THE GUIDANCE CTR WEST INC 375 KNEELAND AVE OFC 225F, YONKERS, NY, 10704",10704,YONKERS
WESTCHESTER JEWISH COMMUNITY SRVS,Mental Health Services,914-376-8174,"PUBLIC SCL 18 77 PARK HILL AVE, YONKERS, NY, 10701",10701,YONKERS
FAMILY TIES OF WESTCHESTER,Mental Health Services,914-964-2063,"30 SOUTH BROADWAY, 7TH FL, YONKERS, NY, 10701",10701,YONKERS
MENTAL HEALTH ASSOC OF WESTCHESTER,Mental Health Services,914-345-5900,"YONKERS CLINIC 20 S BROADWAY STE 402, YONKERS, NY, 10701",10701,YONKERS
JULIA DYCKMAN ANDRUSMEM INC,Mental Health Services,914-965-1109,"JULIA DYCKMAN ANDRUS MEMO 35 DOCK ST, YONKERS, NY, 10701",10701,YONKERS
ROCKLAND PSYCHIATRICCENTER,Mental Health Services,914-363-1510,"MOUNT VERNON SERVICE CTR 100 E 1ST ST FLOOR 7, MOUNT VERNON, NY, 10550",10550,MOUNT VERNON
,Mental Health Services,718-224-0566,"5928 LITTLE NECK PKWY, LITTLE NECK, NY, 11362",11362,LITTLE NECK
ROCKLAND CHILDREN'S PSYC CTR,Mental Health Services,914-665-5300,"MT VERNON COMMUNITY SVS 100 CALIFORNIA RD RM106, MT VERNON, NY, 10552",10552,MT VERNON
SHELTERING ARM WELL CHILDREN AND FA,Mental Health Services,718-471-6818,"10000 BEACH CHANNEL DR, ROCKAWAY PARK, NY, 11694",11694,ROCKAWAY PARK
ROCKLAND PSYCHIATRIC CENTER,Mental Health Services,914-969-0543,"YONKERS CLINIC 2 PARK AVE, YONKERS, NY, 10703",10703,YONKERS
LIJ/HILLSIDE GERIATRIC PSYCH,Mental Health Services,718-470-8140,"7559 263RD ST, GLEN OAKS, NY, 11004",11004,GLEN OAKS
LIJ/HILLSIDE BH OUT PATIENT CLINIC,Mental Health Services,718-470-8100,"7559 263RD ST, GLEN OAKS, NY, 11004",11004,GLEN OAKS
LIJ/DAE MRS PROGRAM,Mental Health Services,718-470-8940,"27005 76TH AVE, NEW HYDE PARK, NY, 11040",11040,NEW HYDE PARK
PSCH,Mental Health Services,347-542-5658,"DBA WELLLIFE NETWORK 800 NORTHERN BLVD, GREAT NECK, NY, 11021",11021,GREAT NECK
THE NEW HORIZON COUNS CTR INC,Mental Health Services,718-471-8671,"6603 BEACH CHANNEL DR, ARVERNE, NY, 11692",11692,ARVERNE
LIJ/ELMONT TREATMENTCENTER,Mental Health Services,516-437-0440,"40 ELMONT RD, ELMONT, NY, 11003",11003,ELMONT
JOSEPH P ADDABBO FAMILY HLTH CTR,Mental Health Services,718-945-7150,"6200 BEACH CHANNEL DR, ARVERNE, NY, 11692",11692,ARVERNE
JB FAM CHILDREN SERVINC,Mental Health Services,844-663-2255,"1765 SOUTH AVE, STATEN ISLAND, NY, 10314",10314,STATEN ISLAND
LIJ/MANHASSET COMM DAY,Mental Health Services,516-627-5002,"1355 NORTHERN BLVD, MANHASSET, NY, 11030",11030,MANHASSET
NORTHEAST FAMILY SERVICES OF NY INC,Mental Health Services,332-215-6631,"CHILD MENT HLTH REHAB SRV 145 HUGUENOT ST STE 330, NEW ROCHELLE, NY, 10801",10801,NEW ROCHELLE
"NEW HORIZON COUNSELING CTR, INC",Mental Health Services,718-327-7002,"720 BEACH 20TH ST, FAR ROCKAWAY, NY, 11691",11691,FAR ROCKAWAY
ST JOHNS EPISCOPAL HOSPITAL,Mental Health Services,718-869-8822,"CMHC 521 BEACH 20TH ST, FAR ROCKAWAY, NY, 11691",11691,FAR ROCKAWAY
NEW HORIZON COUNSELING CTR INC,Mental Health Services,516-569-6600,"50 W HAWTHORNE AVE, VALLEY STREAM, NY, 11580",11580,VALLEY STREAM
ST. CHRISTOPHER'S INC,Mental Health Services,914-949-0665,"ST CHRISTOPHER'S INC 1700 OLD ORCHARD RD, EAST MARION, NY, 11939",11939,EAST MARION
NORTH SHORE CHLDRN AND FAMILY GDNC,Mental Health Services,516-626-1971,"480 OLD WESTBURY RD, ROSLYN HEIGHTS, NY, 11577",11577,ROSLYN HEIGHTS
NORTH SHORE CHILD & FAMILY GUIDANCE,Mental Health Services,516-626-1971,"480 OLD WESTBURY RD, ROSLYN HEIGHTS, NY, 11577",11577,ROSLYN HEIGHTS
LIVING POSITIVE INC LONG ISLAND,Mental Health Services,929-312-6204,"LIVING POSITIVE DAC 250 FULTON AVE STE 418, HEMPSTEAD, NY, 11550",11550,HEMPSTEAD
MENTAL HEALTH ASSOC OF NASSAU CTY,Mental Health Services,516-489-2322,"MENTAL HEALTH ASSOCIATION 16 MAIN ST, HEMPSTEAD, NY, 11550",11550,HEMPSTEAD
"CENTER R HISPANIC COUNSELING, MD",Mental Health Services,516-538-2613,"344 FULTON AVE, HEMPSTEAD, NY, 11550",11550,HEMPSTEAD
HISPANIC COUNSELING CENTER,Mental Health Services,516-538-2613,"344 FULTON AVE, HEMPSTEAD, NY, 11550",11550,HEMPSTEAD
OTI MANAGEMENT CONSULTING INC,Mental Health Services,516-280-3193,"50 CLINTON ST STE205 RM 2, HEMPSTEAD, NY, 11550",11550,HEMPSTEAD
FAMILY & CHILDREN'S ASSOCIATION,Mental Health Services,516-746-0350,"377 OAK STREET 5TH FL, GARDEN CITY, NY, 11530",11530,GARDEN CITY
CHARLES EVANS CENTERINC,Mental Health Services,516-676-2388,"113 GLEN COVE AVE, GLEN COVE, NY, 11542",11542,GLEN COVE
S SHORE ASSOC FOR INDEP LIVING INC,Mental Health Services,516-855-1800,"1976 GRAND AVE, NORTH BALDWIN, NY, 11510",11510,NORTH BALDWIN
OUTREACH REACT CENTER,Mental Health Services,516-623-7741,"27 WASHINGTON PLACE, ROOSEVELT, NY, 11575",11575,ROOSEVELT
EPIC LONG ISLAND INC,Mental Health Services,516-739-7733,"EPIC LONG ISLAND CLINIC 1500 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554",11554,EAST MEADOW
NASSAU CTY MED CTR,Mental Health Services,516-472-0123,"2201 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554",11554,EAST MEADOW
CATH CHARITIES DIOC OF ROCK CNTR,Mental Health Services,516-733-7040,"333 N MAIN ST, FREEPORT, NY, 11520",11520,FREEPORT
SOUTH SHORE CHILD AND GDNC CNTR,Mental Health Services,516-868-3030,"91 GUY LOMBARDO AVE, FREEPORT, NY, 11520",11520,FREEPORT
FAMILY SERVICES OF WESTCHESTER,Mental Health Services,914-948-8004,"FAMILY SER OF WESTCHESTER 7-11 S BROADWAY STE 317, WHITE PLAINS, NY, 10601",10601,WHITE PLAINS
MENTAL HEALTH ASSOC WESTCHESTER,Mental Health Services,914-345-5900,"WHITE PLAINS CLINIC 300 HAMILTON AVE, WHITE PLAINS, NY, 10601",10601,WHITE PLAINS
STUDENT ASSIST SRVCS CORP,Mental Health Services,914-874-1660,"STUDENT AST SRVC COUN CTR 660 WHITE PLAINS RD, TARRYTOWN, NY, 10591",10591,TARRYTOWN
FAM SVCS OF WESTCHESTER,Mental Health Services,914-422-8100,"FAMILY SVCS WESTCHESTER 106 N BROADWAY, WHITE PLAINS, NY, 10603",10603,WHITE PLAINS
WESTCHESTER JEWISH COMMUNITY SVC,Mental Health Services,914-761-0600,"WJCS SAT CLINIC AT HQ 845 N BROADWAY, WHITE PLAINS, NY, 10603",10603,WHITE PLAINS
HAMASPIK OF ROCKLANDCOUNTY INC,Mental Health Services,845-503-0204,"58 ROUTE 59 # 1, MONSEY, NY, 10952",10952,MONSEY
CENTRAL NASSAU GDNC AND CNSL SVCS,Mental Health Services,516-822-6111,"950 S OYSTER BAY RD # 101, HICKSVILLE, NY, 11801",11801,HICKSVILLE
MENTAL HEALTH ASSOCIATION ROCK CNTY,Mental Health Services,845-267-2172,"MNTL HLTH ASSOC ROCK CNTY 140 ROUTE 303, VALLEY COTTAGE, NY, 10989",10989,VALLEY COTTAGE
SOUTHEAST NASSAU GUIDANCE CENTER,Mental Health Services,516-221-3030,"2146 JACKSON AVE, SEAFORD, NY, 11783",11783,SEAFORD
SOUTH EAST NASSAU GUIDANCE CENTER,Mental Health Services,516-679-9800,"2146 JACKSON AVE, SEAFORD, NY, 11783",11783,SEAFORD
VCS INC,Mental Health Services,845-634-5729,"VCS MENTAL HEALTH CLINIC 77 S MAIN ST, NEW CITY, NY, 10956",10956,NEW CITY
ROCKLAND COMMUNITY SVCS,Mental Health Services,914-646-1004,"ROCKLAND COMMUNITY SVCS 16 KING ARTHUR CT, NEW CITY, NY, 10956",10956,NEW CITY
BIKUR CHOLIM INC,Mental Health Services,845-425-5252,"BIKUR CHOLIM INC 257 GRANDVIEW AVE, SUFFERN, NY, 10901",10901,SUFFERN
FAMILY RESIDENCES ENTERPRISES INC,Mental Health Services,516-870-1654,"FREE CHILDRENS HCBS 191 BETHPAGE SWEET HOL RD, OLD BETHPAGE, NY, 11804",11804,OLD BETHPAGE
JAWONIO INC,Mental Health Services,845-708-2000,"JAWONIO PROS 260 N LITTLE TOR RD, NEW CITY, NY, 10956",10956,NEW CITY
JULIA DYCKMAN ANDRUSMEMORIAL INC,Mental Health Services,914-762-2682,"ROOSEVELT SCH SATELLITE 190 CROTON AVE, OSSINING, NY, 10562",10562,OSSINING
FAMILY SERVICE LEAGUE,Mental Health Services,631-396-2300,"55 HORIZON DR, HUNTINGTON, NY, 11743",11743,HUNTINGTON
HALO NETWORK INC,Mental Health Services,631-775-9922,"HALO NETWORK INC 141 COLIN DR, SHIRLEY, NY, 11967",11967,SHIRLEY
HUNTINGTON DRUG & ALCOHOL PROJECT,Mental Health Services,631-271-3591,"423 PARK AVE, HUNTINGTON, NY, 11743",11743,HUNTINGTON
SAGAMORE CHILDRENS PSYCHIATRIC CTR,Mental Health Services,631-370-1700,"197 HALF HOLLOW RD, DIX HILLS, NY, 11746",11746,DIX HILLS
TOWN OF BABYLON DIVIOF DRUG & ALCHO,Mental Health Services,631-422-7676,"281 PHELPS LN, NORTH BABYLON, NY, 11703",11703,NORTH BABYLON
BEHAVIORAL & SUB ABUSE MED PLLC,Mental Health Services,631-392-4357,"770 GRAND BLVD STE 17, DEER PARK, NY, 11729",11729,DEER PARK
OUTREACH RECOVERY CENTER,Mental Health Services,631-521-8400,"998 CROOKED HILL RD BLDG5, BRENTWOOD, NY, 11717",11717,BRENTWOOD
FAMILY SERVICE LEAGUE INC,Mental Health Services,631-309-6900,"FAM RECOVERY CTR BAYSHORE 1448 FIFTH AVE, BAY SHORE, NY, 11706",11706,BAY SHORE
CATH CHARITIES DIOC ROCKVL CTR,Mental Health Services,516-733-7040,"155 INDIAN HEAD RD, COMMACK, NY, 11725",11725,COMMACK
HISPANIC COUNSELING CENTER INC,Mental Health Services,631-301-4868,"85 W MAIN ST, BAY SHORE, NY, 11706",11706,BAY SHORE
HANDS ACROSS LONG ISLAND INC,Mental Health Services,631-234-1925,"159 BRIGHTSIDE AVE, CENTRAL ISLIP, NY, 11722",11722,CENTRAL ISLIP
PHOENIX HOUSE OF LONG ISLAND,Mental Health Services,631-306-5778,"220 VETERANS HWY, HAUPPAUGE, NY, 11788",11788,HAUPPAUGE
PUTNAM FAMILY & COMMUNITY SVCS,Mental Health Services,845-335-1000,"ST CHRISTOPHERS 21 ST FRANCISCAN WAY, GARRISON, NY, 10524",10524,GARRISON
HAMASPIK OF ORANGE COUNTY INC,Mental Health Services,845-774-8400,"1 HAMASPIK WAY, MONROE, NY, 10950",10950,MONROE
MERCY HAVEN INC,Mental Health Services,631-277-8300,"859 CONNETQUOT AVE, ISLIP TERRACE, NY, 11752",11752,ISLIP TERRACE
AHIVIM INC,Mental Health Services,845-771-7000,"AHIVIM 15 ADELAKE FAREWAY, MONROE, NY, 10950",10950,MONROE
COMMUNITY COUSELING SVCS OF RONK,Mental Health Services,631-471-3122,"DBA RUTH MEYER 3281 VETERANS MEMOR HWY B, RONKONKOMA, NY, 11779",11779,RONKONKOMA
ACCESS SUPPORTS FOR LIVING INC,Mental Health Services,845-610-5321,"CHESTER GROUP HOME 15 HIGH ST, CHESTER, NY, 10918",10918,CHESTER
GREEN CHIMNEYS,Mental Health Services,845-279-2995,"COMMUNITY BASED SERVICES 1689 ROUTE 22, BREWSTER, NY, 10509",10509,BREWSTER
ASSOC OF MENTAL HEALTH & WELLNESS,Mental Health Services,631-471-7742,"POLLACK CTR RECOV & WELLN 939 JOHNSON AVE, RONKONKOMA, NY, 11779",11779,RONKONKOMA
OPTIONS FOR COMMUNITY LIVING INC,Mental Health Services,631-361-9020,"OPTIONS FOR COMM LIV INC 25 HOWARD PL, RONKONKOMA, NY, 11779",11779,RONKONKOMA
UNIV MC STONYBROOK DIV OF CHILD,Mental Health Services,631-444-2570,"ADULT OP PSYCH DEPT LEVEL 5 STE 9, STONY BROOK, NY, 11794",11794,STONY BROOK
STONY BROOK PSYCHIATRIC ASSOC,Mental Health Services,631-444-8962,"PSYCHIATRY-BLDG 2 2500 NESCONSET HWY, STONY BROOK, NY, 11790",11790,STONY BROOK
LODESTAR CHILDREN'S SERVICES INC,Mental Health Services,631-767-1589,"LODSTR CHILDRENS SRVS INC 259 VERSA PL, SAYVILLE, NY, 11782",11782,SAYVILLE
YOUNG MEN'S CHRISTIAN ASSOC LI INC,Mental Health Services,631-580-7777,"1150 PORTION RD STE 6, HOLTSVILLE, NY, 11742",11742,HOLTSVILLE
SUFFOLK COUNTY DEPT OF HEALTH SVCS,Mental Health Services,631-854-2552,"FARMINGVILLE MH CENTER 15 HORSEBLOCK PL, FARMINGVILLE, NY, 11738",11738,FARMINGVILLE
PUTNAM FAMILY & COMMUNITY SVC INC,"Mental Health Services, Substance Abuse Outpatient",845-225-2700,"1816 RTE 6, CARMEL, NY, 10512",10512,CARMEL
FEDERATION OF ORG,Mental Health Services,631-669-5355,"PROS RECOVERY CONCEPTS 456 WAVERLY AVE, PATCHOGUE, NY, 11772",11772,PATCHOGUE
ORANGE COUNTY DEPT OF MENTAL HEALTH,Mental Health Services,845-562-2191,"NEW WINDSOR PEDIATRIACS 448 TEMPLE HILL RD, NEW WINDSOR, NY, 12553",12553,NEW WINDSOR
WEST MENTAL HEALTH BROOKHAVEN HOSP,Mental Health Services,631-854-1222,"365 E MAIN ST, PATCHOGUE, NY, 11772",11772,PATCHOGUE
PILGRIM PSYCHIATRIC CTR,Mental Health Services,631-475-7108,"PILGRIM ACT TEAM 3 GROVE AVE, PATCHOGUE, NY, 11772",11772,PATCHOGUE
INDEPENDENT LIVING INC,Mental Health Services,845-565-1162,"5 WASHINGTON TER, NEWBURGH, NY, 12550",12550,NEWBURGH
MENTAL HLTH ASSOC INORANGE CO INC,Mental Health Services,845-342-2400,"MAIN OFFICE 73 JAMES P KELLY WAY, MIDDLETOWN, NY, 10940",10940,MIDDLETOWN
FAMILY SERVICES INC,Mental Health Services,845-486-2703,"BEACON MENTAL HLTH CLINIC 223 MAIN ST, BEACON, NY, 12508",12508,BEACON
MENT HLTH AMER DUTCH CNTY,Mental Health Services,845-831-2124,"451 FISHKILL AVE, BEACON, NY, 12508",12508,BEACON
PILGRIM PSYCHIATRIY CTR,Mental Health Services,631-761-2289,"YAPHANK CENTER 31 SCOUTING BLVD, MEDFORD, NY, 11763",11763,MEDFORD
SCOTCHTOWN SITE,Mental Health Services,845-692-4454,"ACCESS SUPPORT LIVING INC 15 FORTUNE RD W, MIDDLETOWN, NY, 10941",10941,MIDDLETOWN
ORANGE COUNTY DEPT F MENTAL HEALTH,Mental Health Services,845-858-1456,"PORT JERVIS OTPT CLINIC 146 PIKE ST, PORT JERVIS, NY, 12771",12771,PORT JERVIS
PEOPLE USA,Mental Health Services,845-452-2728,"PEOPLE USA 108 ULSTER AVE, WALDEN, NY, 12586",12586,WALDEN
EAST MENTAL HEALTH BROOKHAVEN HOSP,Mental Health Services,631-852-1070,"550 MONTAUK HWY, SHIRLEY, NY, 11967",11967,SHIRLEY
