row,name,meta,address,phone,zip
242,UNION SETTLEMENT/JOHNSON COUNSELING CENTER,"Distance: 4.37 miles
1829 Lexington Avenue New York 10029
(212)828-6144
Handicap Accessible",1829 Lexington Avenue New York 10029,(212)828-6144,10029
243,UNION SETTLEMENT/JOHNSON COUNSELING CENTER,"Distance: 3.67 miles
1893 Second Avenue New York 10029
(212)828-6144
Handicap Accessible",1893 Second Avenue New York 10029,(212)828-6144,10029
244,"VIP COMMUNITY SERVICES, INC.","Distance: 8.55 miles
764 E 176th St Bronx 10460
(718)542-8700
Handicap Accessible",764 E 176th St Bronx 10460,(718)542-8700,10460
245,VISITING NURSE SERVICE OF NEW YORK HOME CARE,"Distance: 4.91 miles
148 West 125th Street New York 10027
(212)609-7840
Handicap Accessible",148 West 125th Street New York 10027,(212)609-7840,10027
246,VISITING NURSE SERVICE OF NEW YORK HOME CARE II,"Distance: 9.79 miles
1630 East 15th Street Brooklyn 11229
(212)290-6565
Handicap Accessible",1630 East 15th Street Brooklyn 11229,(212)290-6565,11229
247,"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC","Distance: 8.63 miles
1910 Arthur Avenune Bronx 10457
(718)542-8700
Handicap Accessible",1910 Arthur Avenune Bronx 10457,(718)542-8700,10457
248,"WELLLIFE NETWORK, INC.","Distance: 43.06 miles
11 Route 111, 1st Floor Smithtown 11787
(631)920-8300
Handicap Accessible","11 Route 111, 1st Floor Smithtown 11787",(631)920-8300,11787
249,WESTCHESTER JEWISH COMMUNITY SERVICES,"Distance: 13.06 miles
75 Morris Street Yonkers 10705
(914)376-8174
Handicap Accessible",75 Morris Street Yonkers 10705,(914)376-8174,10705
250,AHAVA MEDICAL & REHABILITATION LLC,"Distance: 9.11 miles
2555 Nostrand Avenue Brooklyn 11210
(718)951-8800
Handicap Accessible",2555 Nostrand Avenue Brooklyn 11210,(718)951-8800,11210
251,"AIDS CENTER OF QUEENS COUNTY, INC.","Distance: 4.96 miles
62-07 Woodside Avenue, 3rd Floor Woodside 11377
(718)472-9400
Handicap Accessible","62-07 Woodside Avenue, 3rd Floor Woodside 11377",(718)472-9400,11377
252,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 4.45 miles
158 East 115th Steet, 1st Floor New York 10029
(646)459-6165
Handicap Accessible","158 East 115th Steet, 1st Floor New York 10029",(646)459-6165,10029
253,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 3.2 miles
419 East 86th Street New York 10028
(646)459-6165
Handicap Accessible",419 East 86th Street New York 10028,(646)459-6165,10028
254,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.51 miles
1551 East 172nd Street, Room 216 C Bronx 10472
(718)231-3400
Handicap Accessible","1551 East 172nd Street, Room 216 C Bronx 10472",(718)231-3400,10472
255,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.83 miles
885 Bolton Avenue, Room 101A Bronx 10473
(718)231-3400
Handicap Accessible","885 Bolton Avenue, Room 101A Bronx 10473",(718)231-3400,10473
256,BETH ISRAEL MEDICAL CENTER,"Distance: 1.25 miles
First Avenue at 16th Street New York 10003
(718)252-3000
Handicap Accessible",First Avenue at 16th Street New York 10003,(718)252-3000,10003
257,"BEVERLEY MACK HARRY CONSULTING SERVICES, INC.","Distance: 6.66 miles
738 Crown Street Brooklyn 11213
(718)363-0100
Handicap Accessible",738 Crown Street Brooklyn 11213,(718)363-0100,11213
258,BRIDGING ACCESS TO CARE,"Distance: 3.37 miles
260 Broadway Brooklyn 11211
(347)505-5000
Handicap Accessible",260 Broadway Brooklyn 11211,(347)505-5000,11211
259,C.C.M.S.,"Distance: 5.55 miles
810 Classon Ave Brooklyn 11238
(718)802-0666
Handicap Accessible",810 Classon Ave Brooklyn 11238,(718)802-0666,11238
260,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 10.87 miles
161-10 Jamaica Avenue, 2nd Floor Jamaica 11432
(718)722-6001
Handicap Accessible","161-10 Jamaica Avenue, 2nd Floor Jamaica 11432",(718)722-6001,11432
261,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 6.21 miles
5440 74th Street - Rooms 433C, 433D, 433E Maspeth 11373
(718)722-6001
Handicap Accessible","5440 74th Street - Rooms 433C, 433D, 433E Maspeth 11373",(718)722-6001,11373
262,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 6.34 miles
91-14 37th Avenue Jackson Heights 11372
(718)722-6001
Handicap Accessible",91-14 37th Avenue Jackson Heights 11372,(718)722-6001,11372
263,CATHOLIC GUARDIAN SERVICES,"Distance: 1.83 miles
1011 First Avenue, 10th Floor New York 10022
(212)371-1011
Handicap Accessible","1011 First Avenue, 10th Floor New York 10022",(212)371-1011,10022
264,"CHILDREN OF PROMISE, NYC","Distance: 8.55 miles
1842 Webster Ave Bronx 10457
(718)483-9290
Handicap Accessible",1842 Webster Ave Bronx 10457,(718)483-9290,10457
265,CHILDRENS AID SOCIETY,"Distance: 4.38 miles
14-32 W. 118 Street New York 10026
(347)767-2200
Handicap Accessible",14-32 W. 118 Street New York 10026,(347)767-2200,10026
266,"COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICANS, INC.","Distance: 6.94 miles
3940 Broadway, 2nd Floor New York 10032
(212)781-5500
Handicap Accessible","3940 Broadway, 2nd Floor New York 10032",(212)781-5500,10032
267,FLUSHING HOSPITAL MEDICAL CENTER,"Distance: 9.44 miles
146-01 45th Avenue Flushing 11355
(718)670-5000
Handicap Accessible",146-01 45th Avenue Flushing 11355,(718)670-5000,11355
268,FORTUNE SOCIETY INC,"Distance: 3.26 miles
29-76 Northern Blvd, 2nd FL. Long Island City 11101
(212)691-7554
Handicap Accessible","29-76 Northern Blvd, 2nd FL. Long Island City 11101",(212)691-7554,11101
271,INSTITUTE FOR COMMUNITY LIVING,"Distance: 12.23 miles
777 Seaview Ave. Staten Island 10305
(212)385-3030
Handicap Accessible",777 Seaview Ave. Staten Island 10305,(212)385-3030,10305
272,INTENSIVE DAY TREATMENT PROGRAM (NYSOMH),"Distance: 31.6 miles
197 Half Hollow Road Dix Hills 11746
(631)370-1883
Handicap Accessible",197 Half Hollow Road Dix Hills 11746,(631)370-1883,11746
273,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 11.81 miles
2846 Stillwell Ave Brooklyn 11224
(718)975-4888
Handicap Accessible",2846 Stillwell Ave Brooklyn 11224,(718)975-4888,11224
274,JAMAICA HOSPITAL MEDICAL CENTER,"Distance: 10.02 miles
8900 Van Wyck Expressway Jamaica 11418
(718)206-6000
Handicap Accessible",8900 Van Wyck Expressway Jamaica 11418,(718)206-6000,11418
275,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,"Distance: 10.2 miles
2705 Schley Avenue Bronx 10465
(913)308-0848
Handicap Accessible",2705 Schley Avenue Bronx 10465,(913)308-0848,10465
276,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 2.45 miles
34 Chambers Street, Room 236P New York 10282
(212)632-4646
Handicap Accessible","34 Chambers Street, Room 236P New York 10282",(212)632-4646,10282
277,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 5.6 miles
34 West 139th Street New York 10037
(212)690-7234
Handicap Accessible",34 West 139th Street New York 10037,(212)690-7234,10037
278,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 9.32 miles
5030 Broadway New York 10034
(212)795-9888
Handicap Accessible",5030 Broadway New York 10034,(212)795-9888,10034
279,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 7.37 miles
928 Simpson St, Rm 226C Bronx 10459
(718)893-5178
Handicap Accessible","928 Simpson St, Rm 226C Bronx 10459",(718)893-5178,10459
280,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 7.37 miles
97-77 Queens Blvd Rego Park 11374
(718)896-9090
Handicap Accessible",97-77 Queens Blvd Rego Park 11374,(718)896-9090,11374
281,JEWISH CHILD CARE ASSOCIATION OF NEW YORK,"Distance: 6.24 miles
555 Bergen Ave. Bronx 10455
(917)808-4800
Handicap Accessible",555 Bergen Ave. Bronx 10455,(917)808-4800,10455
282,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 40.5 miles
3634 Lexington Avenue, Office A Mohegan Lake 10547
(914)528-2021
Handicap Accessible","3634 Lexington Avenue, Office A Mohegan Lake 10547",(914)528-2021,10547
283,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 38.1 miles
50 Dayton Lane Peekskill 10566
(914)965-1109
Handicap Accessible",50 Dayton Lane Peekskill 10566,(914)965-1109,10566
284,"LAFAYETTE MEDICAL APPROACH, LLC","Distance: 1.8 miles
233 Lafayette Street New York 10012
(212)966-7193
Handicap Accessible",233 Lafayette Street New York 10012,(212)966-7193,10012
285,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, INC.","Distance: 4.02 miles
44-04 Queens Boulevard, 2nd Floor Sunnyside 11104
(718)706-1663
Handicap Accessible","44-04 Queens Boulevard, 2nd Floor Sunnyside 11104",(718)706-1663,11104
286,MIH EXPERIENCE LTD,"Distance: 8.47 miles
4580 Broadway New York 10040
(212)928-2020
Handicap Accessible",4580 Broadway New York 10040,(212)928-2020,10040
288,MONTEFIORE MEDICAL CENTER,"Distance: 10.57 miles
1510 Waters Pl Bronx 10461
(718)920-4321
Handicap Accessible",1510 Waters Pl Bronx 10461,(718)920-4321,10461
289,MONTEFIORE MEDICAL CENTER,"Distance: 8.98 miles
1967 Turnbull Avenue Bronx 10473
(718)920-4231
Handicap Accessible",1967 Turnbull Avenue Bronx 10473,(718)920-4231,10473
290,MONTEFIORE MEDICAL CENTER,"Distance: 12.86 miles
4401 Bronx Boulevard Bronx 10466
(718)920-4231
Handicap Accessible",4401 Bronx Boulevard Bronx 10466,(718)920-4231,10466
291,"MORRIS HEIGHTS HEALTH CENTER, INC.","Distance: 8.64 miles
57-69 West Burnside Avenue Bronx 10453
(718)716-4400
Handicap Accessible",57-69 West Burnside Avenue Bronx 10453,(718)716-4400,10453
292,"NEW HORIZON COUNSELING CENTER, INC.","Distance: 43.06 miles
11 Route 111 Smithtown 11780
(718)471-8671
Handicap Accessible",11 Route 111 Smithtown 11780,(718)471-8671,11780
293,NEW YORK CITY CHILDREN'S CENTER (NYSOMH),"Distance: 6.45 miles
595 Gerard Avenue Bronx 10451
(929)348-4560
Handicap Accessible",595 Gerard Avenue Bronx 10451,(929)348-4560,10451
294,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,"Distance: 5.92 miles
80-20 45th Avenue Elmhurst 11373
(718)482-2100
Handicap Accessible",80-20 45th Avenue Elmhurst 11373,(718)482-2100,11373
295,"NNCC DBA NEIGHBORHOOD COUNSELING CENTER, INC.","Distance: 8.99 miles
7701 13th Avenue Brooklyn 11228
(718)232-1351
Handicap Accessible",7701 13th Avenue Brooklyn 11228,(718)232-1351,11228
296,NORTHWELL / LIJ ZUCKER HILLSIDE HOSPITAL,"Distance: 14.94 miles
75-59 263rd Street Glen Oaks 11004
(718)470-8130
Handicap Accessible",75-59 263rd Street Glen Oaks 11004,(718)470-8130,11004
298,NORTHWELL / LONG ISLAND JEWISH MEDICAL CENTER,"Distance: 15.91 miles
821 Bay 25th St, Far Rockaway Far Rockaway 11691
(718)337-9441
Handicap Accessible","821 Bay 25th St, Far Rockaway Far Rockaway 11691",(718)337-9441,11691
299,NORTHWELL / PHELPS MEMORIAL HOSPITAL,"Distance: 25.92 miles
701 North Broadway Sleepy Hollow 10591
(914)366-3565
Handicap Accessible",701 North Broadway Sleepy Hollow 10591,(914)366-3565,10591
301,NYC HEALTH + HOSPITALS / ELMHURST,"Distance: 5.82 miles
79-01 Broadway Elmhurst 11373
(718)334-5597
Handicap Accessible",79-01 Broadway Elmhurst 11373,(718)334-5597,11373
302,NYC HEALTH + HOSPITALS / KINGS COUNTY,"Distance: 7.41 miles
Home and Community based Locations Brooklyn 11203
(718)579-4061
Handicap Accessible",Home and Community based Locations Brooklyn 11203,(718)579-4061,11203
303,NYC HEALTH + HOSPITALS / QUEENS,"Distance: 3.94 miles
100 N Portland Ave Brooklyn 11205
(718)579-4061
Handicap Accessible",100 N Portland Ave Brooklyn 11205,(718)579-4061,11205
304,NYC HEALTH + HOSPITALS / QUEENS,"Distance: 10.29 miles
82-50 164th Street Jamaica 11432
(718)579-4061
Handicap Accessible",82-50 164th Street Jamaica 11432,(718)579-4061,11432
305,NYU HOSPITALS CENTER DBA NYU LUTHERAN FAMILY HEALTH CENTER QUALITY CARE GROUP,"Distance: 7.71 miles
6025 6th Ave, 1st & 2nd Fl Brooklyn 11220
(718)630-7991
Handicap Accessible","6025 6th Ave, 1st & 2nd Fl Brooklyn 11220",(718)630-7991,11220
306,"PARK SLOPE CENTER FOR MENTAL HEALTH, INC.","Distance: 5.8 miles
348 13th Street, Suite 202 & 203 Brooklyn 11215
(718)788-5101
Handicap Accessible","348 13th Street, Suite 202 & 203 Brooklyn 11215",(718)788-5101,11215
307,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 7.91 miles
1353 50th Street Rm 103 Brooklyn 11219
(718)875-6900
Handicap Accessible",1353 50th Street Rm 103 Brooklyn 11219,(718)875-6900,11219
308,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 8.67 miles
1774 58th Street Rm 403 Brooklyn 11204
(718)875-6900
Handicap Accessible",1774 58th Street Rm 403 Brooklyn 11204,(718)875-6900,11204
309,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 3.47 miles
206 Wilson Street, Room 310 Brooklyn 11211
(718)875-6900
Handicap Accessible","206 Wilson Street, Room 310 Brooklyn 11211",(718)875-6900,11211
310,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 3.83 miles
762 Wythe Avenue, Room 516 Brooklyn 11249
(718)875-6900
Handicap Accessible","762 Wythe Avenue, Room 516 Brooklyn 11249",(718)875-6900,11249
311,PILGRIM PSYCHIATRIC CENTER (NYSOMH),"Distance: 37.27 miles
998 Crooked Hill Road, Building 47 West Brentwood 11717
(631)761-2581
Handicap Accessible","998 Crooked Hill Road, Building 47 West Brentwood 11717",(631)761-2581,11717
312,RICHMOND UNIVERSITY MEDICAL CENTER,"Distance: 9.63 miles
669 Castleton Avenue Staten Island 10301
(718)818-1234
Handicap Accessible",669 Castleton Avenue Staten Island 10301,(718)818-1234,10301
313,ROCKLAND CHILDREN'S PSYCHIATRIC CENTER (NYSOMH),"Distance: 13.6 miles
75 Riverdale Ave, VIVE School, Rm 210, 211, 212, Yonkers 10701
(914)721-8788
Handicap Accessible","75 Riverdale Ave, VIVE School, Rm 210, 211, 212, Yonkers 10701",(914)721-8788,10701
314,SAMARITAN DAYTOP VILLAGE INC,"Distance: 10.27 miles
144-10 Jamaica Avenue Jamaica 11435
(718)206-1990
Handicap Accessible",144-10 Jamaica Avenue Jamaica 11435,(718)206-1990,11435
315,SAMARITAN DAYTOP VILLAGE INC,"Distance: 4.87 miles
2090 Adam Clayton Powell Blvd New York 10027
(212)864-4128
Handicap Accessible",2090 Adam Clayton Powell Blvd New York 10027,(212)864-4128,10027
316,SAMARITAN DAYTOP VILLAGE INC,"Distance: 10.33 miles
2614-16 Halperin Ave Bronx 10461
(718)292-4455
Handicap Accessible",2614-16 Halperin Ave Bronx 10461,(718)292-4455,10461
317,SAMARITAN DAYTOP VILLAGE INC,"Distance: 10.04 miles
88-83 Van Wyck Expy Jamaica 11435
(718)292-4455
Handicap Accessible",88-83 Van Wyck Expy Jamaica 11435,(718)292-4455,11435
318,"SAMUEL FIELD YM & YWHA, INC. DBA COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY","Distance: 3.72 miles
43-31 39th Street Sunnyside 11104
(718)224-0566
Handicap Accessible",43-31 39th Street Sunnyside 11104,(718)224-0566,11104
319,"SAMUEL FIELD YM & YWHA, INC. DBA COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY","Distance: 5.58 miles
69-61 Grand Avenue Maspeth 11378
(718)224-0566
Handicap Accessible",69-61 Grand Avenue Maspeth 11378,(718)224-0566,11378
320,"SERVICE PROGRAM FOR OLDER PEOPLE, INC","Distance: 0.21 miles
305 7th Avenue, 15th Fl New York 10001
(212)787-7120
Handicap Accessible","305 7th Avenue, 15th Fl New York 10001",(212)787-7120,10001
321,"SERVICE PROGRAM FOR OLDER PEOPLE, INC","Distance: 2.61 miles
415 East 73rd Street New York 10021
(212)787-7120
Handicap Accessible",415 East 73rd Street New York 10021,(212)787-7120,10021
322,"SERVICE PROGRAM FOR OLDER PEOPLE, INC","Distance: 3.91 miles
81 Wolloughby Street Brooklyn 11201
(212)787-7120
Handicap Accessible",81 Wolloughby Street Brooklyn 11201,(212)787-7120,11201
323,SES OPERATING CORP DBA HARLEM EAST LIFE PLAN,"Distance: 4.83 miles
2367-69 2nd Ave, 1st and 3rd Floor New York 10035
(212)876-2300
Handicap Accessible","2367-69 2nd Ave, 1st and 3rd Floor New York 10035",(212)876-2300,10035
325,SHELTERING ARMS CHILDREN AND FAMILY SERVICES,"Distance: 10.84 miles
89-74 162nd Street Jamaica 11432
(212)886-5619
Handicap Accessible",89-74 162nd Street Jamaica 11432,(212)886-5619,11432
326,SHILOH CONSULTING LLC,"Distance: 0.66 miles
566 7th Ave New York 10018
(347)866-8867
Handicap Accessible",566 7th Ave New York 10018,(347)866-8867,10018
327,"ST. JOHN’S EPISCOPAL HOSPITAL DBA EPISCOPAL HEALTH SERVICES, INC.","Distance: 16.44 miles
327 Beach 19th Street Far Rockaway 11691
(718)869-7000
Handicap Accessible",327 Beach 19th Street Far Rockaway 11691,(718)869-7000,11691
328,"START TREATMENT & RECOVERY CENTERS, INC","Distance: 4.71 miles
2191 Third Avenue New York 10035
(800)211-0996
Handicap Accessible",2191 Third Avenue New York 10035,(800)211-0996,10035
329,THE BROOKDALE HOSPITAL MEDICAL CENTER,"Distance: 5.36 miles
One Brooklyn Health System, Inc. Brooklyn 11221
(718)613-4000
Handicap Accessible","One Brooklyn Health System, Inc. Brooklyn 11221",(718)613-4000,11221
332,"THE CHILD CENTER OF NY, INC.","Distance: 8.96 miles
118-35 Queens Blvd., 6th Floor Forest Hills 11375
(718)651-7770
Handicap Accessible","118-35 Queens Blvd., 6th Floor Forest Hills 11375",(718)651-7770,11375
333,"THE CHILD CENTER OF NY, INC.","Distance: 6.21 miles
81-14 Queens Blvd, Ground Floor Elmhurst 11373
(718)458-4243
Handicap Accessible","81-14 Queens Blvd, Ground Floor Elmhurst 11373",(718)458-4243,11373
334,THE FLOATING HOSPITAL INC.,"Distance: 7.77 miles
285 East 171st Street Bronx 10457
(718)784-2240
Handicap Accessible",285 East 171st Street Bronx 10457,(718)784-2240,10457
335,"THE FORTUNE SOCIETY, INC.","Distance: 2.96 miles
NAME CHANGE Long Island City 11101
(212)691-7554
Handicap Accessible",NAME CHANGE Long Island City 11101,(212)691-7554,11101
336,THE INSTITUTE FOR FAMILY HEALTH,"Distance: 0.54 miles
230 W 17th Street New York 10011
(212)423-4200
Handicap Accessible",230 W 17th Street New York 10011,(212)423-4200,10011
337,THE INSTITUTE FOR FAMILY HEALTH,"Distance: 8.8 miles
731 White Plains Road Bronx 10473
(718)589-8775
Handicap Accessible",731 White Plains Road Bronx 10473,(718)589-8775,10473
338,"THE NEW HORIZON COUNSELING CENTER, INC.","Distance: 9.95 miles
108-19 Rockaway Boulevard South Ozone Park 11420
(718)845-2620
Handicap Accessible",108-19 Rockaway Boulevard South Ozone Park 11420,(718)845-2620,11420
339,THE NEW YORK FOUNDLING,"Distance: 3.49 miles
33-00 Northern Blvd. Long Island City 11101
(718)772-0280
Handicap Accessible",33-00 Northern Blvd. Long Island City 11101,(718)772-0280,11101
340,UNION SETTLEMENT ASSOCIATION DBA JAMES WELDON JOHNSON COUNSE,"Distance: 4.45 miles
2089 Third Avenue New York 10029
(212)828-6144
Handicap Accessible",2089 Third Avenue New York 10029,(212)828-6144,10029
341,UNION SETTLEMENT/JOHNSON COUNSELING CENTER,"Distance: 3.95 miles
1565 Madison Avenue New York 10029
(212)828-6144
Handicap Accessible",1565 Madison Avenue New York 10029,(212)828-6144,10029
342,URBAN HEALTH PLAN INC.,"Distance: 7.21 miles
900 Intervale Avenue, 5th and 6th Floor Bronx 10459
(718)364-7700
Handicap Accessible","900 Intervale Avenue, 5th and 6th Floor Bronx 10459",(718)364-7700,10459
343,"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC","Distance: 8.55 miles
770 East 176th St. 4th FL. Bronx 10460
(718)583-5150
Handicap Accessible",770 East 176th St. 4th FL. Bronx 10460,(718)583-5150,10460
344,"WELLLIFE NETWORK, INC.","Distance: 7.41 miles
323-325 East 48th Street Brooklyn 11203
(917)563-3347
Handicap Accessible",323-325 East 48th Street Brooklyn 11203,(917)563-3347,11203
345,WESTCHESTER JEWISH COMMUNITY SERVICES,"Distance: 12.74 miles
487 South Broadway Yonkers 10705
(914)423-4433
Handicap Accessible",487 South Broadway Yonkers 10705,(914)423-4433,10705
346,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.","Distance: 12.74 miles
487 South Broadway Yonkers 10705
(914)761-0600
Handicap Accessible",487 South Broadway Yonkers 10705,(914)761-0600,10705
347,"AIDS CENTER OF QUEENS COUNTY, INC.","Distance: 16.19 miles
1600 Central Avenue, 3rd FL. Far Rockaway 11691
(718)896-2500
Handicap Accessible","1600 Central Avenue, 3rd FL. Far Rockaway 11691",(718)896-2500,11691
348,"AIDS CENTER OF QUEENS COUNTY, INC.","Distance: 10.93 miles
89-31 161 Street Jamaica 11432
(718)472-9400
Handicap Accessible",89-31 161 Street Jamaica 11432,(718)472-9400,11432
349,"ARGUS COMMUNITY, INC.","Distance: 6.55 miles
402 East 156th Street Bronx 10455
(718)993-3183
Handicap Accessible",402 East 156th Street Bronx 10455,(718)993-3183,10455
350,"ARGUS COMMUNITY, INC.","Distance: 5.93 miles
507 W 145th St New York 10031
(718)401-5700
Handicap Accessible",507 W 145th St New York 10031,(718)401-5700,10031
351,"ARGUS COMMUNITY, INC.","Distance: 6.91 miles
760 East 160th Street, Cellar Bronx 10456
(347)503-5527
Handicap Accessible","760 East 160th Street, Cellar Bronx 10456",(347)503-5527,10456
352,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 7.53 miles
1366 Inwood Avenue Bronx 10457
(646)459-6165
Handicap Accessible",1366 Inwood Avenue Bronx 10457,(646)459-6165,10457
353,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 4.84 miles
508 East 120th St, Room 427 New York 10035
(646)459-6165
Handicap Accessible","508 East 120th St, Room 427 New York 10035",(646)459-6165,10035
354,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 6.97 miles
1000 Teller Avenue Bronx 10456
(718)231-3400
Handicap Accessible",1000 Teller Avenue Bronx 10456,(718)231-3400,10456
355,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 7.17 miles
200 W 167th Street Bronx 10452
(718)231-3400
Handicap Accessible",200 W 167th Street Bronx 10452,(718)231-3400,10452
356,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 11.61 miles
3710 Barnes Avenue, Room 150 and 350 Bronx 10467
(718)231-3400
Handicap Accessible","3710 Barnes Avenue, Room 150 and 350 Bronx 10467",(718)231-3400,10467
357,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 10.04 miles
950 Rhinelander Ave, Room 252 Bronx 10462
(718)863-1993
Handicap Accessible","950 Rhinelander Ave, Room 252 Bronx 10462",(718)863-1993,10462
358,BETH ISRAEL MEDICAL CENTER,"Distance: 9.4 miles
3201 Kings Highway Brooklyn 11234
(718)252-3000
Handicap Accessible",3201 Kings Highway Brooklyn 11234,(718)252-3000,11234
359,"BLEULER PSYCHOTHERAPY CENTER, INC.","Distance: 8.11 miles
104-70 Queens Boulevard Forest Hills 11375
(347)891-6783
Handicap Accessible",104-70 Queens Boulevard Forest Hills 11375,(347)891-6783,11375
360,"BRIDGE BACK TO LIFE CENTER, INC.","Distance: 11.38 miles
1688 Victory Boulevard Staten Island 10314
(718)447-5700
Handicap Accessible",1688 Victory Boulevard Staten Island 10314,(718)447-5700,10314
361,"BROOKLYN CENTER FOR PSYCHOTHERAPY, INC.","Distance: 4.44 miles
500 Atlantic Avenue Brooklyn 11217
(718)622-2000
Handicap Accessible",500 Atlantic Avenue Brooklyn 11217,(718)622-2000,11217
362,"CARE FOR THE HOMELESS, INC.","Distance: 7.88 miles
1605-11 Nelson Avenue Bronx 10453
(347)269-4625
Handicap Accessible",1605-11 Nelson Avenue Bronx 10453,(347)269-4625,10453
363,"CARE FOR THE HOMELESS, INC.","Distance: 5.88 miles
691 East 138th Street Bronx 10454
(347)269-0437
Handicap Accessible",691 East 138th Street Bronx 10454,(347)269-0437,10454
364,FLUSHING HOSPITAL MEDICAL CENTER,"Distance: 9.5 miles
4500 Parsons Boulevard Flushing 11355
(718)670-5000
Handicap Accessible",4500 Parsons Boulevard Flushing 11355,(718)670-5000,11355
365,HAMASPIK OF KINGS COUNTY,"Distance: 7.65 miles
4102 14th Ave Brooklyn 11219
(718) 80-9989
Handicap Accessible",4102 14th Ave Brooklyn 11219,(718) 80-9989,11219
366,HUDSON GUILD,"Distance: 0.26 miles
441 West 26th Street New York 10001
(212)760-9857
Handicap Accessible",441 West 26th Street New York 10001,(212)760-9857,10001
367,ICL HEALTHCARE CHOICES INC,"Distance: 8.66 miles
6209 16th Ave Brooklyn 11204
(718)234-0073
Handicap Accessible",6209 16th Ave Brooklyn 11204,(718)234-0073,11204
368,INSTITUTE FOR COMMUNITY LIVING,"Distance: 8.5 miles
1310 Rockaway Parkway Brooklyn 11236
(718)272-3300
Handicap Accessible",1310 Rockaway Parkway Brooklyn 11236,(718)272-3300,11236
369,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 9.86 miles
1664 East 14th Street Brooklyn 11229
(718)954-3800
Handicap Accessible",1664 East 14th Street Brooklyn 11229,(718)954-3800,11229
370,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 11.81 miles
2846 Stillwell Avenue Brooklyn 11224
(718)388-5176
Handicap Accessible",2846 Stillwell Avenue Brooklyn 11224,(718)388-5176,11224
371,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 8.85 miles
94 -13 Flatlands Ave Brooklyn 11236
(718)272-1600
Handicap Accessible",94 -13 Flatlands Ave Brooklyn 11236,(718)272-1600,11236
372,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 7.98 miles
1273 53rd Street Brooklyn 11219
(718)435-5700
Handicap Accessible",1273 53rd Street Brooklyn 11219,(718)435-5700,11219
373,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 9.81 miles
2020 Coney Island Avenue Brooklyn 11223
(718)676-4210
Handicap Accessible",2020 Coney Island Avenue Brooklyn 11223,(718)676-4210,11223
374,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 9.43 miles
2488 Grand Concourse, 2nd Floor Bronx 10458
(718)881-7600
Handicap Accessible","2488 Grand Concourse, 2nd Floor Bronx 10458",(718)881-7600,10458
375,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 10.79 miles
521 West 239th Street Bronx 10463
(718)601-2280
Handicap Accessible",521 West 239th Street Bronx 10463,(718)601-2280,10463
