program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type,full_address,lat,long,geometry
New York City,Kings,"Brooklyn Center for Families in Crisis, Inc.","Brooklyn Center for Families in Crisis, Inc.",P.S. 139 BCFC Satellite Mental Heal,N,330 Rugby Road Room B-9,Brooklyn,NY,11226,Kings,Children,School,"330 Rugby Road Room B-9, Brooklyn, NY 11226",40.6413592,-73.9657847,"[-73.9657847, 40.6413592]"
New York City,Kings,C.C.M.S.,C.C.M.S.,CCM Livingston Street Clinic Satellite,N,25 Chapel Street Suite 903,Brooklyn,NY,11201,Kings,Children & Adolescents,Community,"25 Chapel Street Suite 903, Brooklyn, NY 11201",40.6974582,-73.9860496,"[-73.9860496, 40.6974582]"
New York City,Kings,C.C.M.S.,C.C.M.S.,CCM/School Based Mental Health @ P.S. 316/M.S. 353,N,750 Classon Avenue Room 107A,Brooklyn,NY,11238,Kings,Children & Adolescents,School,"750 Classon Avenue Room 107A, Brooklyn, NY 11238",40.6745299,-73.9609174,"[-73.9609174, 40.6745299]"
New York City,Kings,C.C.M.S.,C.C.M.S.,Clinton Site,N,535 Clinton Avenue 2nd Floor,Brooklyn,NY,11238,Kings,Children & Adolescents,Community,"535 Clinton Avenue 2nd Floor, Brooklyn, NY 11238",40.6824831,-73.9662477,"[-73.9662477, 40.6824831]"
New York City,Kings,C.C.M.S.,C.C.M.S.,Crown Heights Mental Health Clinic,N,810 Classon Avenue,Brooklyn,NY,11238,Kings,Children & Adolescents,Community,"810 Classon Avenue, Brooklyn, NY 11238",40.6727671,-73.9610505,"[-73.9610505, 40.6727671]"
New York City,Kings,C.C.M.S.,C.C.M.S.,Youth and Family Consultation Center,Y,25 Elm Place 2nd Floor,Brooklyn,NY,11201,Kings,Children & Adolescents,Community,"25 Elm Place 2nd Floor, Brooklyn, NY 11201",40.6891504,-73.9840289,"[-73.9840289, 40.6891504]"
New York City,Kings,"Catholic Charities Neighborhood Services, Inc.","Catholic Charities Neighborhood Services, Inc",Flatbush Behavioral Health Clinic,Y,1623 Flatbush Avenue,Brooklyn,NY,11210,Kings,Children & Adolescents,Community,"1623 Flatbush Avenue, Brooklyn, NY 11210",40.6311073,-73.9450749,"[-73.9450749, 40.6311073]"
New York City,Kings,"Children of Promise, NYC","Children of Promise, NYC",CPNYC Mental Health Clinic,Y,54 Macdonough Street,Brooklyn,NY,11216,Kings,Children & Adolescents,Community,"54 Macdonough Street, Brooklyn, NY 11216",40.6807512,-73.9437434,"[-73.9437434, 40.6807512]"
New York City,Kings,"Children of Promise, NYC","Children of Promise, NYC","Children of Promise, NYC Wellness C",N,1842 Webster Avenue,Bronx,NY,10457,Bronx,Children & Adolescents,Community,"1842 Webster Avenue, Bronx, NY 10457",40.846587,-73.901273,"[-73.901273, 40.846587]"
New York City,Kings,Coalition for Hispanic Family Services,Coalition for Hispanic Family Services,Bonding Links-Enlazos Familiares Mental Health Clinic,Y,315 Wyckoff Avenue 6th Floor,Brooklyn,NY,11237,Kings,Children & Adolescents,Community,"315 Wyckoff Avenue 6th Floor, Brooklyn, NY 11237",40.7001958,-73.9117555,"[-73.9117555, 40.7001958]"
New York City,Kings,Gotham Health FQHC,NYC-HHC East New York D&T Center,East New York Diagnostic & Tx Center Depart of Behav Health,Y,2094 Pitkin Avenue,Brooklyn,NY,11207,Kings,Children & Adolescents,Community,"2094 Pitkin Avenue, Brooklyn, NY 11207",40.671746,-73.8952429,"[-73.8952429, 40.671746]"
New York City,Kings,"Hamaspik of Kings County, Inc.","Hamaspik of Kings County, Inc.",Sipuk,Y,4102 13th Avenue,Brooklyn,NY,11219,Kings,Children & Adolescents,Community,"4102 13th Avenue, Brooklyn, NY 11219",40.6394603,-73.9878238,"[-73.9878238, 40.6394603]"
New York City,Kings,"HeartShare Human Services of New York, Roman Catholic Diocese of Brooklyn","St. Vincent's Services, Inc. dba HeartShare S",St. Vincent's Mental Health Services,Y,66 Boerum Place 1st and 2nd Floors,Brooklyn,NY,11201,Kings,Children & Adolescents,Community,"66 Boerum Place 1st and 2nd Floors, Brooklyn, NY 11201",40.6896846,-73.9906628,"[-73.9906628, 40.6896846]"
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",Highland Park Center - PS 13,N,557 Pennsylvania Avenue,Brooklyn,NY,11207,Kings,Children & Adolescents,School,"557 Pennsylvania Avenue, Brooklyn, NY 11207",40.6637837,-73.89325869999999,"[-73.89325869999999, 40.6637837]"
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",ICL - Highland Park Center,Y,2581 Atlantic Avenue,Brooklyn,NY,11207,Kings,Children & Adolescents,Community,"2581 Atlantic Avenue, Brooklyn, NY 11207",40.6758828,-73.8992968,"[-73.8992968, 40.6758828]"
New York City,Kings,"Institute for Community Living, Inc.","Institute for Community Living, Inc.",Rockaway Parkway Center,Y,1310 Rockaway Parkway,Brooklyn,NY,11236,Kings,Children & Adolescents,Community,"1310 Rockaway Parkway, Brooklyn, NY 11236",40.6474228,-73.90516439999999,"[-73.90516439999999, 40.6474228]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Canarsie Counseling Center,Y,94-13 Flatlands Avenue,Brooklyn,NY,11236,Kings,Children & Adolescents,Community,"94-13 Flatlands Avenue, Brooklyn, NY 11236",40.6571238,-73.8771244,"[-73.8771244, 40.6571238]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Wellness Center @ Young Writers/Spring Creek Ca,N,1065 Elton Street Rooms 109E and 328B,Brooklyn,NY,11208,Kings,Children & Adolescents,Community,"1065 Elton Street Rooms 109E and 328B, Brooklyn, NY 11208",40.6572453,-73.8740662,"[-73.8740662, 40.6572453]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",The Curtis Estabrook School PS 272,N,101-24 Seaview Avenue Room 211,Brooklyn,NY,11236,Kings,Children,School,"101-24 Seaview Avenue Room 211, Brooklyn, NY 11236",40.6356012,-73.88645520000001,"[-73.88645520000001, 40.6356012]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Coney Island Clinic,Y,2846 Stillwell Avenue,Brooklyn,NY,11224,Kings,Children & Adolescents,Community,"2846 Stillwell Avenue, Brooklyn, NY 11224",40.5779777,-73.9820043,"[-73.9820043, 40.5779777]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Canarsie High School Satellite,N,1600 Rockaway Parkway Rooms 151 and 341,Brooklyn,NY,11236,Kings,Children & Adolescents,School,"1600 Rockaway Parkway Rooms 151 and 341, Brooklyn, NY 11236",40.640443,-73.8987798,"[-73.8987798, 40.640443]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Ebbets Field Middle School,N,46 McKeever Place Room #324A,Brooklyn,NY,11225,Kings,Adolescents,School,"46 McKeever Place Room #324A, Brooklyn, NY 11225",40.6648721,-73.9595858,"[-73.9595858, 40.6648721]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Franklin Delano Roosevelt High Scho,N,5800 20th Avenue Rooms 118 and 201,Brooklyn,NY,11204,Kings,Adolescents,Community,"5800 20th Avenue Rooms 118 and 201, Brooklyn, NY 11204",40.6195067,-73.9859414,"[-73.9859414, 40.6195067]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",IS 285 Satellite,N,5909 Beverly Road Room 106,Brooklyn,NY,11203,Kings,Adolescents,School,"5909 Beverly Road Room 106, Brooklyn, NY 11203",40.6473935,-73.9206887,"[-73.9206887, 40.6473935]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough @ PS 158 Warwick,N,400 Ashford Street Room B10,Brooklyn,NY,11207,Kings,Children,School,"400 Ashford Street Room B10, Brooklyn, NY 11207",40.6725442,-73.8851372,"[-73.8851372, 40.6725442]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Develop & Consultation Ctr Crown Heights Clinic,Y,921 East New York Avenue,Brooklyn,NY,11203,Kings,Children & Adolescents,Community,"921 East New York Avenue, Brooklyn, NY 11203",40.6632148,-73.93244589999999,"[-73.93244589999999, 40.6632148]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",KIPP AMP Charter School,N,1224 Park Place Room 254,Brooklyn,NY,11213,Kings,Children & Adolescents,School,"1224 Park Place Room 254, Brooklyn, NY 11213",40.6723193,-73.9372221,"[-73.9372221, 40.6723193]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",La Cima Charter School,N,"800 Gates Avenue 3rd Floor, Room C2",Brooklyn,NY,11221,Kings,Children,School,"800 Gates Avenue 3rd Floor, Room C2, Brooklyn, NY 11221",40.6878785,-73.93222279999999,"[-73.93222279999999, 40.6878785]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",PS 12-MS 484,N,430 Howard Avenue Room 215B,Brooklyn,NY,11233,Kings,Children & Adolescents,School,"430 Howard Avenue Room 215B, Brooklyn, NY 11233",40.6730157,-73.919862,"[-73.919862, 40.6730157]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",PS 214 Michael Friedsam School,N,2944 Pitkin Avenue Room 561,Brooklyn,NY,11208,Kings,Children,School,"2944 Pitkin Avenue Room 561, Brooklyn, NY 11208",40.6762696,-73.86308650000001,"[-73.86308650000001, 40.6762696]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",The Urban Assembly Institute of Music and Art,N,"49 Flatbush Avenue Extension Rooms 508B, 608A, and 708A",Brooklyn,NY,11201,Kings,Children & Adolescents,Community,"49 Flatbush Avenue Extension Rooms 508B, 608A, and 708A, Brooklyn, NY 11201",40.6973489,-73.98474759999999,"[-73.98474759999999, 40.6973489]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Tilden High School Satellite,N,"5800 Tilden Avenue Rooms 102A, 145A, 229B, 338C",Brooklyn,NY,11203,Kings,Children & Adolescents,School,"5800 Tilden Avenue Rooms 102A, 145A, 229B, 338C, Brooklyn, NY 11203",40.6478943,-73.9228473,"[-73.9228473, 40.6478943]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",UAAAL / PS20 Clinton Hill School Satellite,N,225 Adelphi Street Room 2101D,Brooklyn,NY,11205,Kings,Children & Adolescents,School,"225 Adelphi Street Room 2101D, Brooklyn, NY 11205",40.6912212,-73.9712066,"[-73.9712066, 40.6912212]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Urban Assembly Inst of Math & Science for Young Women &,N,330 Jay Street Room 151B,Brooklyn,NY,11201,Kings,Children & Adolescents,Community,"330 Jay Street Room 151B, Brooklyn, NY 11201",40.6947503,-73.9876018,"[-73.9876018, 40.6947503]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Winthrop IS 232 Satellite,N,905 Winthrop Street Room 123A,Brooklyn,NY,11203,Kings,Children & Adolescents,School,"905 Winthrop Street Room 123A, Brooklyn, NY 11203",40.6586846,-73.9286824,"[-73.9286824, 40.6586846]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough Developmental & Consultation Center,Y,1623 Kings Highway,Brooklyn,NY,11229,Kings,Children & Adolescents,Community,"1623 Kings Highway, Brooklyn, NY 11229",40.6097581,-73.9567847,"[-73.9567847, 40.6097581]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Academy of Urban Planning,N,400 Irving Avenue Rooms 112 and 116,Brooklyn,NY,11237,Kings,Adolescents,School,"400 Irving Avenue Rooms 112 and 116, Brooklyn, NY 11237",40.6967365,-73.9120081,"[-73.9120081, 40.6967365]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.","I.S. 349, The School of Math, Science and Technology",N,35 Starr Street Room 201A,Brooklyn,NY,11221,Kings,Adolescents,School,"35 Starr Street Room 201A, Brooklyn, NY 11221",40.7012793,-73.9276237,"[-73.9276237, 40.7012793]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Interborough @ IS 318 - Eugenio Mar,N,101 Walton Street Room 130-B,Brooklyn,NY,11206,Kings,Adolescents,School,"101 Walton Street Room 130-B, Brooklyn, NY 11206",40.7031073,-73.94833539999999,"[-73.94833539999999, 40.7031073]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Roland Hayes School,N,231 Palmetto Street Room 248B,Brooklyn,NY,11221,Kings,Children & Adolescents,School,"231 Palmetto Street Room 248B, Brooklyn, NY 11221",40.6957854,-73.915361,"[-73.915361, 40.6957854]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",WIN I.S. 49,N,223 Graham Avenue Room 378,Brooklyn,NY,11206,Kings,Children,School,"223 Graham Avenue Room 378, Brooklyn, NY 11206",40.709729,-73.9443861,"[-73.9443861, 40.709729]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Williamsburg Clinic,Y,790 Broadway,Brooklyn,NY,11206,Kings,Children & Adolescents,Community,"790 Broadway, Brooklyn, NY 11206",40.6997223,-73.9408097,"[-73.9408097, 40.6997223]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",Young Women's Leadership School,N,325 Bushwick Avenue Room 406,Brooklyn,NY,11206,Kings,Children & Adolescents,School,"325 Bushwick Avenue Room 406, Brooklyn, NY 11206",40.7050566,-73.9386916,"[-73.9386916, 40.7050566]"
New York City,Kings,"Interborough Developmental & Consultation Center, Inc.","Interborough Develop & Consultation Ctr, Inc.",lnterborough @ Grover Cleveland High School,N,2127 Himrod Street Suite 125B,Ridgewood,NY,11385,Queens,Adolescents,School,"2127 Himrod Street Suite 125B, Ridgewood, NY 11385",40.7116318,-73.9091661,"[-73.9091661, 40.7116318]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Brownsville Child Development Center,Y,255 East 98th Street,Brooklyn,NY,11212,Kings,Children,Community,"255 East 98th Street, Brooklyn, NY 11212",40.6614843,-73.91866790000002,"[-73.91866790000002, 40.6614843]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS - Bay Ridge Counseling Center,Y,9201 4th Avenue 2nd Floor,Brooklyn,NY,11209,Kings,Children & Adolescents,Community,"9201 4th Avenue 2nd Floor, Brooklyn, NY 11209",40.6180352,-74.029786,"[-74.029786, 40.6180352]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Coney Island CSS Clinic Program,Y,2928 West 36th Street,Brooklyn,NY,11224,Kings,Children & Adolescents,Community,"2928 West 36th Street, Brooklyn, NY 11224",40.5742803,-74.0018723,"[-74.0018723, 40.5742803]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Crown Heights Satellite Center,N,1055 Saint Johns Place,Brooklyn,NY,11213,Kings,Children & Adolescents,Community,"1055 Saint Johns Place, Brooklyn, NY 11213",40.6715308,-73.9430114,"[-73.9430114, 40.6715308]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Madeleine Borg Boro Park Clinic,Y,1273 53rd Street,Brooklyn,NY,11219,Kings,Children & Adolescents,Community,"1273 53rd Street, Brooklyn, NY 11219",40.6331517,-73.994676,"[-73.994676, 40.6331517]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Be'er Hagolah Institutes,N,671 Louisiana Avenue Room 201,Brooklyn,NY,11239,Kings,Adolescents,Community,"671 Louisiana Avenue Room 201, Brooklyn, NY 11239",40.6460097,-73.88321619999999,"[-73.88321619999999, 40.6460097]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Beth Jacob of Boro Park Yeshiva,N,1371 46th Street Room C-8,Brooklyn,NY,11219,Kings,Children & Adolescents,School,"1371 46th Street Room C-8, Brooklyn, NY 11219",40.6358703,-73.98825190000001,"[-73.98825190000001, 40.6358703]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Beth Rivkah,N,310 Crown Street Room 102,Brooklyn,NY,11225,Kings,Adolescents,Community,"310 Crown Street Room 102, Brooklyn, NY 11225",40.6659617,-73.9498508,"[-73.9498508, 40.6659617]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Edward R. Murrow High School Satellite,N,1600 Avenue L Room 124,Brooklyn,NY,11230,Kings,Adolescents,School,"1600 Avenue L Room 124, Brooklyn, NY 11230",40.6195422,-73.9589429,"[-73.9589429, 40.6195422]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,John Dewey High School Satellite,N,50 Avenue X Room 106,Brooklyn,NY,11223,Kings,Adolescents,School,"50 Avenue X Room 106, Brooklyn, NY 11223",40.5877456,-73.9813501,"[-73.9813501, 40.5877456]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Oholei Torah,N,667 Eastern Parkway Room 430,Brooklyn,NY,11213,Kings,Adolescents,Community,"667 Eastern Parkway Room 430, Brooklyn, NY 11213",40.6700567,-73.9457638,"[-73.9457638, 40.6700567]"
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Seymour Askin Counseling Center,Y,2020 Coney Island Avenue,Brooklyn,NY,11223,Kings,Children & Adolescents,Community,"2020 Coney Island Avenue, Brooklyn, NY 11223",40.6080328,-73.9623409,"[-73.9623409, 40.6080328]"
New York City,Kings,Jewish Child Care Association of New York,Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services,Y,858 E 29th Street,Brooklyn,NY,11210,Kings,Children & Adolescents,Community,"858 E 29th Street, Brooklyn, NY 11210",40.6299734,-73.9487946,"[-73.9487946, 40.6299734]"
New York City,Kings,Jewish Child Care Association of New York,Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services at FHS,N,870 E 29th Street,Brooklyn,NY,11210,Kings,Children & Adolescents,School,"870 E 29th Street, Brooklyn, NY 11210",40.6296317,-73.9485572,"[-73.9485572, 40.6296317]"
New York City,Kings,Maimonides Medical Center,Maimonides Medical Center,Maimonides CMHC Children's Clinic,Y,920 48th Street,Brooklyn,NY,11219,Kings,Children & Adolescents,Community,"920 48th Street, Brooklyn, NY 11219",40.6403019,-73.9997605,"[-73.9997605, 40.6403019]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Abraham Lincoln High School,N,2800 Ocean Parkway,Brooklyn,NY,11235,Kings,Adolescents,School,"2800 Ocean Parkway, Brooklyn, NY 11235",40.5828631,-73.9682183,"[-73.9682183, 40.5828631]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Boys & Girls High School,N,1700 Fulton Avenue Room 104A,Brooklyn,NY,11213,Kings,Adolescents,School,"1700 Fulton Avenue Room 104A, Brooklyn, NY 11213",40.678496,-73.93222779999999,"[-73.93222779999999, 40.678496]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Frank J. Macchiarola Educational Co,N,3000 Avenue X Room 105,Brooklyn,NY,11235,Kings,Adolescents,Community,"3000 Avenue X Room 105, Brooklyn, NY 11235",40.5935047,-73.9368992,"[-73.9368992, 40.5935047]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,George Wingate Educational Complex,N,600 Kingston Avenue H107,Brooklyn,NY,11203,Kings,Adolescents,Community,"600 Kingston Avenue H107, Brooklyn, NY 11203",40.6593652,-73.9431462,"[-73.9431462, 40.6593652]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Healthy Connections,N,6025 6th Avenue,Brooklyn,NY,11220,Kings,Children & Adolescents,Community,"6025 6th Avenue, Brooklyn, NY 11220",40.6375482,-74.0141754,"[-74.0141754, 40.6375482]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,PS 188 Michael E Berdy,N,3314 Neptune Avenue Counseling room 2,Brooklyn,NY,11224,Kings,Children,School,"3314 Neptune Avenue Counseling room 2, Brooklyn, NY 11224",40.5769299,-74.0005238,"[-74.0005238, 40.5769299]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,South Shore Educational Complex,N,6565 Flatlands Avenue C-150,Brooklyn,NY,11236,Kings,Adolescents,Community,"6565 Flatlands Avenue C-150, Brooklyn, NY 11236",40.6336811,-73.91751959999999,"[-73.91751959999999, 40.6336811]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center,Y,514 49th Street,Brooklyn,NY,11220,Kings,Children & Adolescents,Community,"514 49th Street, Brooklyn, NY 11220",40.6451964,-74.0093388,"[-74.0093388, 40.6451964]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Erasmus Hall HS Satellite,N,911 Flatbush Avenue Room BS 141-I,Brooklyn,NY,11226,Kings,Children & Adolescents,School,"911 Flatbush Avenue Room BS 141-I, Brooklyn, NY 11226",40.64930349999999,-73.95774899999999,"[-73.95774899999999, 40.64930349999999]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Juan Morel Campos Seconda,N,215 Heyward Street Room 149 D,Brooklyn,NY,11206,Kings,Adolescents,Community,"215 Heyward Street Room 149 D, Brooklyn, NY 11206",40.7039101,-73.9537081,"[-73.9537081, 40.7039101]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - MS 136/MS 821 Satellite,N,4004 Fourth Avenue T4 (Annex) - Rooms 1 & 2,Brooklyn,NY,11232,Kings,Children & Adolescents,School,"4004 Fourth Avenue T4 (Annex) - Rooms 1 & 2, Brooklyn, NY 11232",40.6519928,-74.0072938,"[-74.0072938, 40.6519928]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - MS 88 Satellite,N,544 7th Avenue Room 113,Brooklyn,NY,11215,Kings,Children & Adolescents,School,"544 7th Avenue Room 113, Brooklyn, NY 11215",40.6602554,-73.98805329999999,"[-73.98805329999999, 40.6602554]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 1 Satellite,N,309 47th Street Gym Room 2,Brooklyn,NY,11220,Kings,Children & Adolescents,School,"309 47th Street Gym Room 2, Brooklyn, NY 11220",40.6486563,-74.0112375,"[-74.0112375, 40.6486563]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 10 Satellite,N,511 Seventh Avenue Room 156,Brooklyn,NY,11212,Kings,Children,School,"511 Seventh Avenue Room 156, Brooklyn, NY 11212",40.66092260000001,-73.9862168,"[-73.9862168, 40.66092260000001]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 15 Satellite,N,71 Sullivan Street Room 103A,Brooklyn,NY,11231,Kings,Children & Adolescents,School,"71 Sullivan Street Room 103A, Brooklyn, NY 11231",40.6769361,-74.01193099999999,"[-74.01193099999999, 40.6769361]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 172 Satellite,N,825 4th Avenue Ground Floor Room B,Brooklyn,NY,11232,Kings,Children & Adolescents,School,"825 4th Avenue Ground Floor Room B, Brooklyn, NY 11232",40.657666,-74.000168,"[-74.000168, 40.657666]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 24 Satellite,N,"427 38th Street Rooms 126A, 126C, and 421",Brooklyn,NY,11232,Kings,Children,School,"427 38th Street Rooms 126A, 126C, and 421, Brooklyn, NY 11232",40.6560436,-74.0079781,"[-74.0079781, 40.6560436]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 307/MS 313 Satellite,N,209 York Street Room 140,Brooklyn,NY,11201,Kings,Children & Adolescents,School,"209 York Street Room 140, Brooklyn, NY 11201",40.7017411,-73.9816714,"[-73.9816714, 40.7017411]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 329 Satellite,N,2929 Surf Avenue Room 231,Brooklyn,NY,11224,Kings,Children,School,"2929 Surf Avenue Room 231, Brooklyn, NY 11224",40.5730466,-73.9958467,"[-73.9958467, 40.5730466]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 503/506 Satellite,N,330 59th Street Room 123,Brooklyn,NY,11220,Kings,Children & Adolescents,School,"330 59th Street Room 123, Brooklyn, NY 11220",40.6419176,-74.0190873,"[-74.0190873, 40.6419176]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS/MS 282 Satellite,N,180 Sixth Avenue Room 138A,Brooklyn,NY,11217,Kings,Children & Adolescents,School,"180 Sixth Avenue Room 138A, Brooklyn, NY 11217",40.6766719,-73.977631,"[-73.977631, 40.6766719]"
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Sunset Park HS Satellite,N,"153 35th Street Rooms 423B, 423C, and 323G",Brooklyn,NY,11232,Kings,Children & Adolescents,School,"153 35th Street Rooms 423B, 423C, and 323G, Brooklyn, NY 11232",40.6560436,-74.0079781,"[-74.0079781, 40.6560436]"
New York City,Kings,"National Neighborhood Counseling Center, Inc. dba Neighborhood Counseling Center, Inc.","NNCC dba Neighborhood Counseling Center, Inc.",Dyker Heights Counseling Center,Y,7701 13th Avenue,Brooklyn,NY,11228,Kings,Children & Adolescents,Community,"7701 13th Avenue, Brooklyn, NY 11228",40.6189429,-74.0085297,"[-74.0085297, 40.6189429]"
New York City,Kings,"National Neighborhood Counseling Center, Inc. dba Neighborhood Counseling Center, Inc.","NNCC dba Neighborhood Counseling Center, Inc.",Neighborhood Counseling Center Annex,N,7706 13th Avenue,Brooklyn,NY,11228,Kings,Children & Adolescents,Community,"7706 13th Avenue, Brooklyn, NY 11228",40.619054,-74.00902479999999,"[-74.00902479999999, 40.619054]"
New York City,Kings,New York City Children's Center,New York City Children's Center,Brooklyn Children's Behavioral Health Clinic,Y,1819 Bergen Street,Brooklyn,NY,11233,Kings,Children & Adolescents,Community,"1819 Bergen Street, Brooklyn, NY 11233",40.67480870000001,-73.9210561,"[-73.9210561, 40.67480870000001]"
New York City,Kings,New York City Children's Center,New York City Children's Center,NYCCC Bronx Clinic Satellite,N,595 Gerard Avenue,Bronx,NY,10451,Kings,Children & Adolescents,Community,"595 Gerard Avenue, Bronx, NY 10451",40.8204782,-73.92909329999999,"[-73.92909329999999, 40.8204782]"
