program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,JBFCS Coney Island CSS Clinic Program,Y,2928 West 36th Street,Brooklyn,NY,11224.0,Kings,Children & Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Crown Heights Satellite Center,N,1055 Saint Johns Place,Brooklyn,NY,11213.0,Kings,Children & Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Madeleine Borg Boro Park Clinic,Y,1273 53rd Street,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Be'er Hagolah Institutes,N,671 Louisiana Avenue Room 201,Brooklyn,NY,11239.0,Kings,Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Beth Jacob of Boro Park Yeshiva,N,1371 46th Street Room C-8,Brooklyn,NY,11219.0,Kings,Children & Adolescents,School
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Beth Rivkah,N,310 Crown Street Room 102,Brooklyn,NY,11225.0,Kings,Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Edward R. Murrow High School Satellite,N,1600 Avenue L Room 124,Brooklyn,NY,11230.0,Kings,Adolescents,School
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,John Dewey High School Satellite,N,50 Avenue X Room 106,Brooklyn,NY,11223.0,Kings,Adolescents,School
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Oholei Torah,N,667 Eastern Parkway Room 430,Brooklyn,NY,11213.0,Kings,Adolescents,Community
New York City,Kings,"Jewish Board of Family and Children's Services, Inc.",Jewish Board of Family & Children's Services,Seymour Askin Counseling Center,Y,2020 Coney Island Avenue,Brooklyn,NY,11223.0,Kings,Children & Adolescents,Community
New York City,Kings,Jewish Child Care Association of New York,Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services,Y,858 E 29th Street,Brooklyn,NY,11210.0,Kings,Children & Adolescents,Community
New York City,Kings,Jewish Child Care Association of New York,Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services at FHS,N,870 E 29th Street,Brooklyn,NY,11210.0,Kings,Children & Adolescents,School
New York City,Kings,Maimonides Medical Center,Maimonides Medical Center,Maimonides CMHC Children's Clinic,Y,920 48th Street,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Abraham Lincoln High School,N,2800 Ocean Parkway,Brooklyn,NY,11235.0,Kings,Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Boys & Girls High School,N,1700 Fulton Avenue Room 104A,Brooklyn,NY,11213.0,Kings,Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Frank J. Macchiarola Educational Co,N,3000 Avenue X Room 105,Brooklyn,NY,11235.0,Kings,Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,George Wingate Educational Complex,N,600 Kingston Avenue H107,Brooklyn,NY,11203.0,Kings,Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Healthy Connections,N,6025 6th Avenue,Brooklyn,NY,11220.0,Kings,Children & Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,PS 188 Michael E Berdy,N,3314 Neptune Avenue Counseling room 2,Brooklyn,NY,11224.0,Kings,Children,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,South Shore Educational Complex,N,6565 Flatlands Avenue C-150,Brooklyn,NY,11236.0,Kings,Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center,Y,514 49th Street,Brooklyn,NY,11220.0,Kings,Children & Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Erasmus Hall HS Satellite,N,911 Flatbush Avenue Room BS 141-I,Brooklyn,NY,11226.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Juan Morel Campos Seconda,N,215 Heyward Street Room 149 D,Brooklyn,NY,11206.0,Kings,Adolescents,Community
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - MS 136/MS 821 Satellite,N,4004 Fourth Avenue T4 (Annex) - Rooms 1 & 2,Brooklyn,NY,11232.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - MS 88 Satellite,N,544 7th Avenue Room 113,Brooklyn,NY,11215.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 1 Satellite,N,309 47th Street Gym Room 2,Brooklyn,NY,11220.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 10 Satellite,N,511 Seventh Avenue Room 156,Brooklyn,NY,11212.0,Kings,Children,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 15 Satellite,N,71 Sullivan Street Room 103A,Brooklyn,NY,11231.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 172 Satellite,N,825 4th Avenue Ground Floor Room B,Brooklyn,NY,11232.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 24 Satellite,N,"427 38th Street Rooms 126A, 126C, and 421",Brooklyn,NY,11232.0,Kings,Children,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 307/MS 313 Satellite,N,209 York Street Room 140,Brooklyn,NY,11201.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 329 Satellite,N,2929 Surf Avenue Room 231,Brooklyn,NY,11224.0,Kings,Children,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS 503/506 Satellite,N,330 59th Street Room 123,Brooklyn,NY,11220.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - PS/MS 282 Satellite,N,180 Sixth Avenue Room 138A,Brooklyn,NY,11217.0,Kings,Children & Adolescents,School
New York City,Kings,NYU Langone Hospitals,NYU Langone Hospitals,Sunset Park Mental Health Center - Sunset Park HS Satellite,N,"153 35th Street Rooms 423B, 423C, and 323G",Brooklyn,NY,11232.0,Kings,Children & Adolescents,School
New York City,Kings,"National Neighborhood Counseling Center, Inc. dba Neighborhood Counseling Center, Inc.","NNCC dba Neighborhood Counseling Center, Inc.",Dyker Heights Counseling Center,Y,7701 13th Avenue,Brooklyn,NY,11228.0,Kings,Children & Adolescents,Community
New York City,Kings,"National Neighborhood Counseling Center, Inc. dba Neighborhood Counseling Center, Inc.","NNCC dba Neighborhood Counseling Center, Inc.",Neighborhood Counseling Center Annex,N,7706 13th Avenue,Brooklyn,NY,11228.0,Kings,Children & Adolescents,Community
New York City,Kings,New York City Children's Center,New York City Children's Center,Brooklyn Children's Behavioral Health Clinic,Y,1819 Bergen Street,Brooklyn,NY,11233.0,Kings,Children & Adolescents,Community
New York City,Kings,New York City Children's Center,New York City Children's Center,NYCCC Bronx Clinic Satellite,N,595 Gerard Avenue,Bronx,NY,10451.0,Kings,Children & Adolescents,Community
New York City,Kings,New York City Health and Hospitals Corporation Coney Island Hospital,NYC-HHC Coney Island Hospital,Coney Island Hospital Child and Adult Outpatient Clinic Prog,Y,2601 Ocean Parkway,Brooklyn,NY,11235.0,Kings,Children & Adolescents,Community
New York City,Kings,New York City Health and Hospitals Corporation Kings County Hospital Center,NYC-HHC Kings County Hospital Center,Kings County Hospital Adult Clinic,Y,410 Winthrop Street Building R,Brooklyn,NY,11203.0,Kings,Adolescents,Community
New York City,Kings,New York City Health and Hospitals Corporation Kings County Hospital Center,NYC-HHC Kings County Hospital Center,Kings County Hospital Child and Adolescent Clinic,Y,410 Winthrop Street Building R,Brooklyn,NY,11203.0,Kings,Children & Adolescents,Community
New York City,Kings,New York City Health and Hospitals Corporation Kings County Hospital Center,NYC-HHC Kings County Hospital Center,Ryder Elementary School P.S. 114,N,1077 Remsen Avenue Room B31,Brooklyn,NY,11236.0,Kings,Children & Adolescents,School
New York City,Kings,New York City Health and Hospitals Corporation Woodhull Medical & Mental Health Center,NYC-HHC Woodhull Medical & Mental Health Cent,Outpatient Child & Adolescent Mental Health Clinic,Y,760 Broadway,Brooklyn,NY,11206.0,Kings,Children & Adolescents,Community
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,Bushwick Child and Family Mental Health Center,Y,102 Pilling Street,Brooklyn,NY,11207.0,Kings,Children & Adolescents,Community
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 116,N,"515 Knickerbocker Avenue P.S. 116 , Room 103",Brooklyn,NY,11237.0,Kings,Children & Adolescents,School
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 145,N,"100 Noll Street Andrew Jackson School, Rm 114",Brooklyn,NY,11206.0,Kings,Children & Adolescents,School
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 274,N,"800 Bushwick Avenue P.S. 274 - Kosciusko School, Rm 137",Brooklyn,NY,11221.0,Kings,Children & Adolescents,School
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S./I.S. 377,N,200 Woodbine Street Room 255A,Brooklyn,NY,11221.0,Kings,Children & Adolescents,School
New York City,Kings,New York Psychotherapy and Counseling Center,New York Psychotherapy and Counseling Center,East New York Child and Family Mental Health Center,Y,2857 Linden Boulevard,Brooklyn,NY,11208.0,Kings,Children & Adolescents,Community
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic,Y,1262-1286 E 14 Street,Brooklyn,NY,11230.0,Kings,Children & Adolescents,Community
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic @ Jewish Inst,N,60-05 Woodhaven Boulevard Room 526,Elmhurst,NY,11373.0,Queens,Children & Adolescents,Community
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel @ Bnos Bais Yaakov,N,613 Beach 9th Street Room BR 100,Far Rockaway,NY,11691.0,Queens,Children & Adolescents,Community
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel Regional Family Center,N,"156 Beach 9th Street 2nd Floor, Suite C",Far Rockaway,NY,11691.0,Queens,Children & Adolescents,Community
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel Tikvah Clinic @ Bnos Malka Academy,N,71-02 113th Street Room 300,Forest Hills,NY,11375.0,Queens,Children & Adolescents,School
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel Tikvah Clinic @ Chabad ELC and the Academy of Art and,N,212-12 26th Avenue Room 4,Bayside,NY,11360.0,Queens,Children,School
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Ohel Tikvah School Clinic Satellite,N,400 Caswell Avenue Room 11,Staten Island,NY,10314.0,Richmond,Children & Adolescents,School
New York City,Kings,"Ohel Children's Home & Family Services, Inc.","Ohel Children's Home & Family Services, Inc.",Yeshiva Shaarei Zion School Satellite,N,"75-24 Grand Central Parkway 3rd Floor, Room 2",Forest Hills,NY,11375.0,Queens,Children & Adolescents,School
New York City,Kings,"One Brooklyn Health System, Inc.",Brookdale Hospital Medical Center,Brookdale Hospital CMHC Child Clinic,Y,Linden Boulevard & Brookdale Plaza 12th Floor,Brooklyn,NY,11212.0,Kings,Children & Adolescents,Community
New York City,Kings,"One Brooklyn Health System, Inc.",Brookdale Hospital Medical Center,Integrated Center @ Bishop Walker H,N,528 Prospect Place 3rd Floor,Brooklyn,NY,11238.0,Kings,Children & Adolescents,Community
New York City,Kings,"One Brooklyn Health System, Inc.",Brookdale Hospital Medical Center,Interfaith Medical Center Mental Health Clinic,Y,1545 Atlantic Avenue 3rd Floor,Brooklyn,NY,11213.0,Kings,Children & Adolescents,Community
New York City,Kings,"Park Slope Center for Mental Health, Inc.","Park Slope Center for Mental Health, Inc.",Park Slope Child and Family Center,N,257 15th Street,Brooklyn,NY,11215.0,Kings,Children & Adolescents,Community
New York City,Kings,"Park Slope Center for Mental Health, Inc.","Park Slope Center for Mental Health, Inc.",Park Slope Counseling Center,Y,348 13th Street Suites 202 & 203,Brooklyn,NY,11215.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Borough Park Satellite,N,4111 18th Avenue,Brooklyn,NY,11218.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Aleksander,N,3913 151h Avenue Room 201,Brooklyn,NY,11218.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Brocha (Karlin,N,4314 10th Avenue Room 1 -Lobby,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Esther School - Klausenberg Boys,N,945 39th Street Room 100,Brooklyn,NY,11219.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Esther School - Klausenberg Girls,N,1353 50th Street Room 103,Brooklyn,NY,11219.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Ruchel BP,N,4421 15th Avenue Room 119,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Tziporah,N,1449 39th Street Room 118,Brooklyn,NY,11218.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Belz Yeshiva (Boys),N,1601 42nd Street Room 312,Brooklyn,NY,11204.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah @ Belz Yeshiva (Boys), K-3",N,841-853 Ocean Parkway Room 415,Brooklyn,NY,11230.0,Kings,Children,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Beth Jacob of Boro Park,N,1371 46th Street Room 601,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Belz - Girls School,N,600 McDonald Avenue Room 225,Brooklyn,NY,11218.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya - Staten,N,471 North Gannon Avenue,Staten Island,NY,10314.0,Richmond,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya 4511,N,4511 14th Avenue,Brooklyn,NY,11219.0,Kings,Children,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya 4622,N,4622 14th Avenue,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Central UTA - Satmar Girls School,N,414 Flushing Avenue Room 213,Brooklyn,NY,11205.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Central UTA Boys Division,N,762 Wythe Avenue Room 516,Brooklyn,NY,11249.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Chsan Sofer,N,1876 50th Street Room 109,Brooklyn,NY,11204.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Gan Yisroel,N,13 Church Avenue Room 207,Brooklyn,NY,11218.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Kehilath Yakov - Pupa Boys School,N,4706 10th Avenue Room 103,Brooklyn,NY,11219.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Kehilath Yakov - Pupa Girls School,N,1402 40th Street Room 204,Brooklyn,NY,11218.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Krasna Yeshiva,N,4315 16th Avenue Room 1,Brooklyn,NY,10467.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Sanz Netanya,N,1177 48th Street Room 209,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Tiferes Elimelech,N,1650 56th Street Room 16,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ UTA - Torah V'Yirah,N,110 Throop Avenue Room 206,Brooklyn,NY,11206.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Viznitz Boys School,N,6 Lee Avenue Room 305,Brooklyn,NY,11211.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Viznitz Girls School,N,12 Franklin Avenue Room 410,Brooklyn,NY,11249.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ YOB GHS,N,1470 Ocean Parkway Room 205,Brooklyn,NY,11230.0,Kings,Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yagdil Torah,N,5110 18th Avenue Room 27A,Brooklyn,NY,11204.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yeshiva Ohr Moshe,N,1774 58th Street Room 403,Brooklyn,NY,11204.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yeshiva of Brooklyn,N,1200 Ocean Parkway Room 210,Brooklyn,NY,11230.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah FSC - 5309 18th Avenue,N,5309 18th Avenue,Brooklyn,NY,11204.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,Y,926 Bedford Avenue,Brooklyn,NY,11205.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at 640 Broadway,N,640 Broadway,Brooklyn,NY,11206.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah at Bobover Yeshiva Bnei Zion, Inc.",N,1533 48th Street Suite 203,Brooklyn,NY,11219.0,Kings,Children,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Care for Special N,N,1977 Coney Island Avenue,Brooklyn,NY,11223.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Karlin Stolin,N,1818 54th Street Room 12,Brooklyn,NY,11204.0,Kings,Children & Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at UTA - Bais Rochel,N,62 Harrison Avenue Room 230,Brooklyn,NY,11211.0,Kings,Adolescents,Community
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at United Talmudic Academy,N,75 Ross Street Room 103,Brooklyn,NY,11211.0,Kings,Children,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Arugath Habosem,N,40 Lynch Street Room 115,Brooklyn,NY,11206.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Imrei Chaim Viznitz,N,1824 53rd Street Room 210-1,Brooklyn,NY,11204.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Kehilath Yaakov,N,206 Wilson Street Room 310,Brooklyn,NY,11211.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Mevakshei Hashem,N,550 Ocean Parkway Room 102,Brooklyn,NY,11218.0,Kings,Children & Adolescents,School
New York City,Kings,"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah@ UTA Torah V'Yirah BP,N,5901 13th Avenue Room 400,Brooklyn,NY,11219.0,Kings,Children & Adolescents,Community
New York City,Kings,"Puerto Rican Family Institute, Inc.","Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute Brooklyn Mental Health Clinic,Y,28 Debevoise Street 5th Floor,Brooklyn,NY,11206.0,Kings,Children & Adolescents,Community
New York City,Kings,"SBH Community Service Network, Inc.","SBH Community Service Network, Inc.",Sephardic Bikur Holim Clinic,Y,1955 McDonald Avenue,Brooklyn,NY,11223.0,Kings,Children & Adolescents,Community
New York City,Kings,"Safe Horizon, Inc.","Safe Horizon, Inc.",Safe Horizon Counseling Center,Y,50 Court Street 9th Floor,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,Kings,"Safe Horizon, Inc.","Safe Horizon, Inc.",Safe Horizon Lotus House Satellite,N,P.O. Box 5551,New York,NY,10027.0,New York,Children & Adolescents,Community
New York City,Kings,"Safe Horizon, Inc.","Safe Horizon, Inc.",Safe Horizon Manhattan CPO Satellite,N,100 East 122nd Street,New York,NY,10035.0,New York,Children & Adolescents,Community
New York City,Kings,"Safe Horizon, Inc.","Safe Horizon, Inc.",Safe Horizon Rose House Satellite,N,P.O. Box 5551,New York,NY,10027.0,New York,Children & Adolescents,Community
New York City,Kings,"Safe Horizon, Inc.","Safe Horizon, Inc.",Streetwork Satellite,N,209 West 125th Street 2nd Floor,New York,NY,10027.0,Kings,Adolescents,Community
New York City,Kings,"Sun River Health, Inc.","Sun River Health, Inc.",Bedford Avenue Health Center,Y,1669 Bedford Avenue,Brooklyn,NY,11225.0,Kings,Children & Adolescents,Community
New York City,Kings,"Sun River Health, Inc.","Sun River Health, Inc.",Church Avenue Health Center,Y,2412 Church Avenue,Brooklyn,NY,11226.0,Kings,Children & Adolescents,Community
New York City,Kings,The Family Center,The Family Center,Irene LeeKong Health and Wellness Institute at TFC,Y,493 Nostrand Avenue 3rd and 4th Floors,Brooklyn,NY,11216.0,Kings,Children & Adolescents,Community
New York City,Kings,The Institute for Family Health,The Institute for Family Health,Institute Center for Counseling at Cadman,Y,300 Cadman Plaza West 17th Floor,Brooklyn,NY,11201.0,Kings,Children & Adolescents,Community
New York City,New York,Ackerman Institute for the Family,Ackerman Institute for the Family,Ackerman Institute for the Family,Y,936 Broadway 2nd Floor,New York,NY,10010.0,New York,Children & Adolescents,Community
New York City,New York,Association to Benefit Children,Association to Benefit Children,ABC @ Joan of Arc Complex,N,154 West 93rd Street Room B21,New York,NY,10025.0,New York,Children & Adolescents,Community
New York City,New York,Association to Benefit Children,Association to Benefit Children,ABC Fast Break Yorkville,N,421 East 88th Street Room 402,New York,NY,10128.0,New York,Adolescents,Community
New York City,New York,Association to Benefit Children,Association to Benefit Children,Children's Mobile Mental Health Clinic,Y,1841 Park Avenue,New York,NY,10035.0,New York,Children & Adolescents,Community
New York City,New York,Association to Benefit Children,Association to Benefit Children,Fast Break Murry Bergtraum,N,411 Pearl Street Rooms 137H & 229,New York,NY,10038.0,New York,Adolescents,Community
New York City,New York,Association to Benefit Children,Association to Benefit Children,Fast Break at P.S. 206,N,508 East 120th Street Room 427,New York,NY,10035.0,New York,Children,School
New York City,New York,Association to Benefit Children,Association to Benefit Children,Fast Break 115,Y,158 East 115th Street 1st Floor,New York,NY,10029.0,New York,Children & Adolescents,Community
New York City,New York,"BALANCE Eating Disorder Center, LLC","BALANCE Eating Disorder Center, LLC",BALANCE Eating Disorder Center Clinic,Y,18 West 21st Street 4th Floor,New York,NY,10010.0,New York,Adolescents,Community
New York City,New York,Blanton-Peale Institute,Blanton-Peale Institute,Blanton-Peale Institute,Y,7 West 30th Street 9th and 10th Floors,New York,NY,10001.0,New York,Children & Adolescents,Community
New York City,New York,"Center for Alternative Sentencing & Employment Services, Inc.",Center for Alternative Sentencing & Employmen,Nathaniel Clinic,Y,2090 Adam Clayton Powell Jr. Blvd 4th and 8th Floors,New York,NY,10027.0,New York,Adolescents,Community
New York City,New York,Center for Hearing and Communication,Center for Hearing and Communication,Center for Hearing and Communication,Y,50 Broadway 6th Floor,New York,NY,10004.0,New York,Children & Adolescents,Community
