agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
"Mental Health Providers of Western Queens, In",Western Queens Consultation Center Satellite,,,,,,,Woodside,11377.0,Queens,Children & Adolescents,Community,6207 WOODSIDE AVE,(718) 672-1705,7/8/22,yes,Yes,4-5 weeks,4.0,5.0,4.5,1.0,1.25,40.7444692,-73.9028203,"[-73.9028203, 40.7444692]"
"Metropolitan Center for Mental Health, Inc.",MCMH - Upper West Side Satellite,,,,,,,New York,10025.0,New York,Children & Adolescents,Community,336 Central Park West,(212) 864-3666,7/8/22,yes,no,no list,,,,,,40.7904197,-73.96617499999999,"[-73.96617499999999, 40.7904197]"
"RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health Center,,,,,,,Bronx,10471.0,Bronx,Children & Adolescents,Community,"5676 RIVERDALE AVE, BRONX, NY, 10471",718-796-5300,8/4/22,no answer,,,,,,,,40.9064273,-73.9039118,"[-73.9039118, 40.9064273]"
"Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute Bronx Mental Health Clinic,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,Community,3251 3rd Ave,"(718) 299-3045, 917-676-4535",7/22/22,yes,yes,"4 months for intake, 1 month to see a therapist",21.73,21.73,21.73,5.43,5.43,40.8448169,-73.8974954,"[-73.8974954, 40.8448169]"
"New Horizon Counseling Center, Inc., The",New Horizon Counseling - Far Rockaway Clinic,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,Community,720 BEACH 20TH ST,718-327-7002,7/8/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.6021222,-73.753072,"[-73.753072, 40.6021222]"
"New Horizon Counseling Center, Inc., The",New Horizon Counseling Center Clinic,,,,,,,South Ozone Park,11420.0,Queens,Children & Adolescents,Community,10819 ROCKAWAY BLVD,718-845-2620,7/8/22,yes,yes,2 weeks,2.0,2.0,2.0,0.5,0.5,40.6781621,-73.8303045,"[-73.8303045, 40.6781621]"
"New Horizon Counseling Center, Inc., The",Howard Beach Clinic,,,,,,,Howard Beach,11414.0,Queens,Children & Adolescents,Community,15628 CROSSBAY BLVD,718-738-6800,7/8/22,yes,yes,1-3 weeks,1.0,3.0,2.0,0.25,0.75,40.6633317,-73.84126820000002,"[-73.84126820000002, 40.6633317]"
"New York Counseling for Change, LLC",New York Counseling for Change Clinic,,,,,,,Long Island City,11101.0,Queens,Adolescents,Community,30-46 NORTHERN BLVD,718-424-6191,7/8/22,yes,yes,About 2 weeks,2.0,2.0,2.0,0.5,0.5,40.7514567,-73.9332407,"[-73.9332407, 40.7514567]"
New York Flushing Hospital and Medical Center,New York Flushing Hospital and Medical Center Clinic,,,,,,,Flushing,11355.0,Queens,Children & Adolescents,Community,"146-01 45th Ave, #310",(718) 670-5562,7/8/22,yes,yes,"2 weeks intake, 6-8 weeks appointment",8.0,10.0,9.0,2.0,2.5,40.7552013,-73.81691049999999,"[-73.81691049999999, 40.7552013]"
"NNCC dba Neighborhood Counseling Center, Inc.",Dyker Heights Counseling Center,,,,,,,Brooklyn,11228.0,Kings,Children & Adolescents,Community,7701 13th Avenue,(718) 232 1351,7/8/22,yes,yes,2 months,8.69,8.69,8.0,2.17,2.17,40.6189429,-74.0085297,"[-74.0085297, 40.6189429]"
"NNCC dba Neighborhood Counseling Center, Inc.",Neighborhood Counseling Center Annex,,,,,,,Brooklyn,11228.0,Kings,Children & Adolescents,Community,7706 13th Avenue,(718) 232 1351,7/8/22,yes,yes,2 months,8.69,8.69,8.0,2.17,2.17,40.619054,-74.00902479999999,"[-74.00902479999999, 40.619054]"
"Park Slope Center for Mental Health, Inc.",Park Slope Child and Family Center,,,,,,,Brooklyn,11215.0,Kings,Children & Adolescents,Community,,(718) 788-5101,7/8/22,yes,no,no list,,,,,,40.66495140000001,-73.9876401,"[-73.9876401, 40.66495140000001]"
"Park Slope Center for Mental Health, Inc.",Park Slope Counseling Center,,,,,,,Brooklyn,11215.0,Kings,Children & Adolescents,Community,348 13th Street,(718) 788-5101,7/8/22,yes,no,no list,,,,,,40.6650123,-73.9853445,"[-73.9853445, 40.6650123]"
Richmond Medical Center dba Richmond UMC,CHAIT Family Support Satellite,,,,,,,Staten Island,10301.0,Richmond,Children & Adolescents,Community,,"718-442-2225, 2 for CHAIT",7/8/22,yes,yes,"more than a month, 4444 st marks place",5.35,7.35,6.35,1.34,1.84,40.6387648,-74.07767539999999,"[-74.07767539999999, 40.6387648]"
"Metropolitan Center for Mental Health, Inc.",Metropolitan Center for Mental Health,,,,,,,New York,10024.0,New York,Children & Adolescents,Community,160 West 86th Street,(212) 362-8755,7/9/22,yes,no,no list,,,,,,40.78712669999999,-73.97448589999999,"[-73.97448589999999, 40.78712669999999]"
"Sheltering Arms Children and Family Services,",Kidwise Mental Health Clinic Satellite,,,,,,,Jamaica,11434.0,Queens,Children & Adolescents,Community,13325 GUY R BREWER BLV,718-206-3440,7/11/22,yes,yes,4 months ,17.38,17.38,17.38,4.35,4.35,40.681155,-73.7811849,"[-73.7811849, 40.681155]"
"PROMESA, Inc.",Westchester Center of Excellence,,,,,,,Bronx,10459.0,Bronx,Children & Adolescents,Community,915 WESTCHESTER AVE,(718) 764-1570,7/22/22,yes,yes,"walk in for intake, about a month for therapy",5.35,5.35,5.35,1.34,1.34,40.8215662,-73.8984076,"[-73.8984076, 40.8215662]"
"Postgraduate Center for Mental Health, Inc.",Postgraduate Child Adolescent & Family Clinic,,,,,,,Bronx,10453.0,Bronx,Children & Adolescents,Community,1775 GRAND CONCOURSE,212-665-1860,6/24/22,yes,yes,1month - 1.5 months,4.35,6.52,5.43,1.09,1.63,40.8464748,-73.91035459999999,"[-73.91035459999999, 40.8464748]"
Richmond Medical Center dba Richmond UMC,West Brighton Clinic,,,Y,representatives said they only treat adults,,,Staten Island,10310.0,Richmond,Children & Adolescents,Community,"staten island mental health, ",(718) 818-6132,7/21/22,yes,,,,,,,,40.6345417,-74.1057811,"[-74.1057811, 40.6345417]"
Richmond Medical Center dba Richmond UMC,Pouch Satellite,Y,children with developmental disabilities,,,,,Staten Island,10301.0,Richmond,Children,Community,,"718-442-2225, 3 for Pouch",7/21/22,voicemail,,,,,,,,40.6353117,-74.1033443,"[-74.1033443, 40.6353117]"
"Samuel Field YM & YWHA, Inc.",Adolescent Mental Health Center,,,,,,,Little Neck,11362.0,Queens,Children & Adolescents,Community,,718-225-6750,7/21/22,voicemail,,,,,,,,40.7608462,-73.7232832,"[-73.7232832, 40.7608462]"
St. Luke's-Roosevelt Hospital Center dba MSM,SLR Department of Psychiatry and Behavioral Health,,,,,,,New York,10025.0,New York,Children & Adolescents,Community,411 W 114th St,(212) 523-4884,7/21/22,voicemail,,,,,,,,40.8052934,-73.9609404,"[-73.9609404, 40.8052934]"
"START Treatment & Recovery Centers, Inc.",Teen START,,,,,,,New York,10027.0,New York,Adolescents,Community,,212-932-2810,7/21/22,voicemail,,,,,,,,40.8076925,-73.94677399999999,"[-73.94677399999999, 40.8076925]"
The New York Presbyterian Hospital,NYP/Columbia UMC Pediatric Psychiatric Special Needs Clinic,Y,children with special health care needs,,,,,New York,10032.0,New York,Children & Adolescents,Community,,212-305-6001,7/21/22,voicemail,,,,,,,,40.8412426,-73.9409706,"[-73.9409706, 40.8412426]"
"Queens County Neuropsychiatric Institute, Inc","Queens County Neuropsychiatric Institute, Inc.",,,,,,,Jackson Heights,11372.0,Queens,Children & Adolescents,Community,,(718) 335-3434,7/21/22,yes,no,no list,,,,,,40.7468091,-73.8938534,"[-73.8938534, 40.7468091]"
NYC-HHC Morrisania Diagnostic & Treatment Ctr,Morrisania Diagnostic and Treatment Center,,,,,,,Bronx,10452.0,Bronx,Children & Adolescents,Community,1225 Gerard Ave,718-960-2972,8/4/22,voicemail,,,,,,,,40.8362867,-73.9202294,"[-73.9202294, 40.8362867]"
The New York Foundling,The Foundling's Home of Integrated Behavioral Health,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,109 E 115TH ST,917-485-7280,7/21/22,yes,no,no list,,,,,,40.7986114,-73.94309989999999,"[-73.94309989999999, 40.7986114]"
NYC-HHC Lincoln Medical & Mental Health Cente,Lincoln Medical & Mental Health Center/Child Outpatient Svc,,,,,,,Bronx,10451.0,Bronx,Children & Adolescents,Community,"234 E 149th St, Bronx, NY 10451","718-579-5157, head of clinic Dr. Fraser, Dr. Gonzalez.",6/13/2022,yes,no,no list,,,,,,40.8160855,-73.9247762,"[-73.9247762, 40.8160855]"
"The Child Center of NY, Inc.",Woodside Family Wellness Center,,,,,,,Woodside,11377.0,Queens,Children & Adolescents,Community,"6714 41ST AVE, WOODSIDE, NY, 11377",718-358-8288,7/22/22,yes,yes,3 months,13.04,13.04,13.04,3.26,3.26,40.7442769,-73.897211,"[-73.897211, 40.7442769]"
NYC-HHC Elmhurst Hospital Center,Elmhurst Hospital Mental Health Clinic,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,Community,7901 BROADWAY,718-334-1502,7/22/22,voicemail,,,,,,,,40.7450814,-73.8857797,"[-73.8857797, 40.7450814]"
NYC-HHC Gouverneur Hospital D&TC,Gouverneur Hospital Mental Health Clinic,,,,,,,New York,10002.0,New York,Children & Adolescents,Community,,(212) 238-7350,7/22/22,left message with front desk,,,,,,,,40.7131148,-73.9877376,"[-73.9877376, 40.7131148]"
NYC-HHC Harlem Hospital Center,Child and Adolescent Psychiatry Clinic,,,,,,,New York,10037.0,New York,Children & Adolescents,Community,,212-939-3370,7/22/22,voicemail,,,,,,,,40.8147539,-73.9389672,"[-73.9389672, 40.8147539]"
NYC-HHC Metropolitan Hospital Center,Metropolitan Hospital CMHC Child/Adolescent Clinic,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,,212-423-6945,7/22/22,voicemail,,,,,,,,40.7856092,-73.9458441,"[-73.9458441, 40.7856092]"
NYC-HHC Woodhull Medical & Mental Health Cent,Outpatient Child & Adolescent Mental Health Clinic,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,Community,760 BROADWAY,718-963-8000,7/22/22,voicemail,,,,,,,,40.7000538,-73.9417768,"[-73.9417768, 40.7000538]"
New York Psychotherapy and Counseling Center,Bronx Child & Family Mental Health Center,,,,,,,Bronx,10451.0,Bronx,Children & Adolescents,Community,"579 Courtlandt Ave, Bronx, NY 10451",718-485-2100,8/1/22,yes,yes,about 1month to 1.5 month,4.35,6.52,5.43,1.09,1.63,40.8174309,-73.91932779999999,"[-73.91932779999999, 40.8174309]"
NYC-HHC Gouverneur Hospital D&TC,Roberto Clemente Family Guidance Center,,,,,,,New York,10009.0,New York,Children & Adolescents,Community,227 Madison Street,(212) 387-7400,7/22/22,yes,yes,6-8 weeks,6.0,8.0,7.0,1.5,2.0,40.7288221,-73.9792839,"[-73.9792839, 40.7288221]"
NYU Langone Hospitals,Sunset Park Mental Health Center,,,,,,,Brooklyn,11220.0,Kings,Children & Adolescents,Community,,(718) 431-2600,7/22/22,yes,yes,"one month for intake, 2 weeks for therapy",6.35,6.35,6.0,1.59,1.59,40.6451964,-74.0093388,"[-74.0093388, 40.6451964]"
"Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic,,,,,,,Brooklyn,11230.0,Kings,Children & Adolescents,Community,1268 E 14th St,(718) 382-0045,7/22/22,yes,yes,"80 children on your waiting list. people from 2021 still wait, a lot of children on our waiting liist, i don't know how quick we are going to be able to assign them, therapists are all booked, new therapists september october",30.42,34.76,6.0,7.6,8.69,40.6185118,-73.96155259999999,"[-73.96155259999999, 40.6185118]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at 640 Broadway,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,Community,,(718) 925-2259,7/22/22,yes,yes,"intake about a week, less than a month to see a therapist, it varies based on when the therapist is available ",3.0,4.0,3.5,0.75,1.0,40.7025405,-73.9455119,"[-73.9455119, 40.7025405]"
New York City Children's Center,NYCCC Bronx Clinic Satellite,,,,,,,Bronx,10451.0,Bronx,Children & Adolescents,Community,595 Gerard Ave,929-348-4561,7/22/22,yes,no,no list,,,,,,40.8204782,-73.92909329999999,"[-73.92909329999999, 40.8204782]"
"New Alternatives for Children, Inc.",New Alternatives for Children Bronx Satellite,Y,children with special health care needs,,,,,Bronx,10453.0,Bronx,Children & Adolescents,Community,,,8/2/22,voicemail,,,,,,,,40.8464748,-73.91035459999999,"[-73.91035459999999, 40.8464748]"
"Beverley Mack Harry Consulting Services, Inc.",Family Access to Counseling and Evaluation Services,,,,,,,Brooklyn,11213.0,Kings,Children & Adolescents,Community,738 CROWN ST,718-363-0100,7/28/22,yes,Yes,12 or more weeks,12.0,14.0,13.0,3.0,3.5,40.6651052,-73.9331692,"[-73.9331692, 40.6651052]"
"Hamilton-Madison House, Inc.",Korean Satellite Clinic,Y,Korean speaking,,,,,Corona,11368.0,Queens,Children & Adolescents,Community,108-11 48th Ave - 1st,(718) 899-8918,7/28/22,yes,no,no list,,,,,,40.7462252,-73.85598999999999,"[-73.85598999999999, 40.7462252]"
"Institute for Community Living, Inc.",ICL - Highland Park Center,,,,,,,Brooklyn,11207.0,Kings,Children & Adolescents,Community,484 Rockaway Pkway,844-425-4673,7/28/22,yes,no,no list,,,,,,40.6758828,-73.8992968,"[-73.8992968, 40.6758828]"
Jewish Board of Family & Children's Services,Rego Park Counseling (Resource) Center Clinic,,,,,,,Rego Park,11374.0,Queens,Children & Adolescents,Community,97-77 Queens Blvd,(718) 896-9090,7/28/22,yes,yes,"1-2 weeks intake, depends what they need and the 3 weeks - 2 months. call intake",4.0,10.69,7.35,1.0,2.67,40.7292451,-73.8582167,"[-73.8582167, 40.7292451]"
"Long Island Consultation Center, Inc.",Long Island Consultation Center,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,Community,9131 QUEENS BLVD,718-896-3400,7/28/22,yes,no,no list,,,,,,40.7336569,-73.8693423,"[-73.8693423, 40.7336569]"
"Advanced Center for Psychotherapy, Inc.",Advanced Center for Psychotherapy Forest Hills,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,Community,10326 68TH RD,718-261-3330,7/28/22,voicemail with intake coordinator,,,,,,,,40.7252151,-73.8491827,"[-73.8491827, 40.7252151]"
St. Luke's-Roosevelt Hospital Center dba MSM,Child and Family Institute Satellite,,,,,,,New York,10025.0,New York,Children & Adolescents,Community,411 W 114th St,(212) 523-3082,7/28/22,voicemail,,,,,,,,40.8054197,-73.9625102,"[-73.9625102, 40.8054197]"
"Children of Promise, NYC",CPNYC Mental Health Clinic,,,,,,,Brooklyn,11216.0,Kings,Children & Adolescents,Community,54 MACDONOUGH ST,718-483-9290,7/28/22,emailed,,,,,,,,40.6807512,-73.9437434,"[-73.9437434, 40.6807512]"
Jewish Board of Family & Children's Services,Madeleine Borg Boro Park Clinic,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,Community,1273 53rd Street,718.435.5700,7/28/22,voicemail,,,,,,,,40.6331517,-73.994676,"[-73.994676, 40.6331517]"
NYC-HHC East New York D&T Center,East New York Diagnostic & Tx Center Depart of Behav Health,,,,,,,Brooklyn,11207.0,Kings,Children & Adolescents,Community,2094 Pitkin Ave,718-245-8897,7/28/22,voicemail,,,,,,,,40.671746,-73.8952429,"[-73.8952429, 40.671746]"
NYU Langone Hospitals,Healthy Connections,,,,,,,Brooklyn,11220.0,Kings,Children & Adolescents,Community,,718-630-7991/7186 (family support services),7/28/22,voicemail,,,,,,,,40.6375482,-74.0141754,"[-74.0141754, 40.6375482]"
"Morris Heights Health Center, Inc.",Harrison Counseling Center,,,,,,,Bronx,10453.0,Bronx,Children & Adolescents,Community,85 West Burnside Avenue,718-839-8900 option 3,7/8/22,yes,Yes,"2-3 weeks intake, 4-5 months",19.38,24.73,22.05,4.85,6.18,40.854387,-73.9095959,"[-73.9095959, 40.854387]"
"Morris Heights Health Center, Inc.",Walton Counseling Center,,,,,,,Bronx,10453.0,Bronx,Children & Adolescents,Community,25 E 183rd St,718-839-8900,7/8/22,yes,Yes,"Can come in during the week to assess, then schedule in person intake appointment, can take 3 months to get assigned a therapist",14.04,15.04,14.54,3.51,3.76,40.8586459,-73.9028873,"[-73.9028873, 40.8586459]"
"The Child Center of NY, Inc.",Macari Family Wellness Center,,,,,,,Flushing,11355.0,Queens,Children & Adolescents,Community,14015 SANFORD AVE,718-358-8288,7/28/22,yes,yes,3 months,13.04,13.04,13.04,3.26,3.26,40.7576799,-73.8265497,"[-73.8265497, 40.7576799]"
"The Child Center of NY, Inc.",Jamaica Family Wellness Center,,,,,,,Jamaica,11432.0,Queens,Children & Adolescents,Community,16318 JAMAICA AVE,718-358-8288,7/28/22,yes,yes,3 months,13.04,13.04,13.04,3.26,3.26,40.7046657,-73.79609239999999,"[-73.79609239999999, 40.7046657]"
"Union Settlement Association, Inc.",James Weldon Johnson Counseling Center,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,2089 3RD AVE,212-828-6144,7/28/22,yes,yes,"3 weeks or so for assignment for therapist, transfer to intake coordinator",3.0,4.0,3.5,0.75,1.0,40.7966251,-73.9403517,"[-73.9403517, 40.7966251]"
Montefiore Medical Center,Montefiore Wakefield Child Psychiatry Clinic,,,,,,,Bronx,10470.0,Bronx,Children & Adolescents,Community,"4401 Bronx Boulevard, Bronx NY, 10470",718-304-7100,6/15/22,yes,no,no list,,,,,,40.9002893,-73.8577572,"[-73.8577572, 40.9002893]"
"Hamilton-Madison House, Inc.",Japanese Unit,Y,Japanese speaking,,,,,New York,10002.0,New York,Children & Adolescents,Community,253 South Street,(212) 720-4540​​,8/1/22,yes,yes,"3-5 days, for screening, after that week initial appointment, within two weeks see therapists, youngest under our care is 4 or 5 years old",2.43,2.71,2.57,0.56,0.62,40.710332,-73.990323,"[-73.990323, 40.710332]"
"Hamilton-Madison House, Inc.",Smith Consultation Center,,,,,,,New York,10002.0,New York,Children & Adolescents,Community,253 South Street,(212) 720-4540​​,8/1/22,yes,yes,"3-5 days, for screening, after that week initial appointment, within two weeks see therapists, youngest under our care is 4 or 5 years old",2.43,2.71,2.57,0.56,0.62,40.710332,-73.990323,"[-73.990323, 40.710332]"
"Hamilton-Madison House, Inc.",Southeast Asia Unit,Y,Chinese speaking (I believe that's what the receptionist was saying),,,,,New York,10002.0,New York,Children & Adolescents,Community,253 South Street,(212) 720-4540​​,8/1/22,yes,yes,"3-5 days, for screening, after that week initial appointment, within two weeks see therapists, youngest under our care is 4 or 5 years old",2.43,2.71,2.57,0.56,0.62,40.710332,-73.990323,"[-73.990323, 40.710332]"
"Hamilton-Madison House, Inc.",Chinatown Family Consultation Center,,,,,,,New York,10002.0,New York,Children & Adolescents,Community,253 South Street,(212) 720-4540​​,8/1/22,yes,yes,"3-5 days, for screening, after that week initial appointment, within two weeks see therapists, youngest under our care is 4 or 5 years old",2.43,2.71,2.57,0.56,0.62,40.710332,-73.990323,"[-73.990323, 40.710332]"
"Institute for Community Living, Inc.",Rockaway Parkway Center,,,,,,,Brooklyn,11236.0,Kings,Children & Adolescents,Community,1310 ROCKAWAY PKWY,718-272-3300,8/1/22,yes,no,no list,,,,,,40.6474228,-73.90516439999999,"[-73.90516439999999, 40.6474228]"
Montefiore Medical Center,Child/Adolescent Clinic,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,Community,"3340 Bainbridge Avenue, Bronx NY, 10467",718-696-3011,8/1/22,yes,yes,7-8 months,30.42,34.76,32.59,7.6,8.69,40.8791505,-73.8788783,"[-73.8788783, 40.8791505]"
Montefiore Medical Center,Montefiore Behavioral Health Center at Westchester Square,,,,,,,Bronx,10461.0,Bronx,Children & Adolescents,Community,"2527 Glebe Avenue, Bronx NY, 10461",718-904-4476,8/1/22,yes,yes,2-4 months,8.69,17.38,13.04,2.17,4.35,40.8412276,-73.84645499999999,"[-73.84645499999999, 40.8412276]"
Jewish Board of Family & Children's Services,Bernikow Mid-Island JCC of Staten Island,,,,,,,Staten Island,10314.0,Richmond,Children & Adolescents,Community,,,8/1/22,yes,yes,"into novemer, most recent appointment in staten island was Nov 14",15.0,16.0,15.5,3.75,4.0,40.5949041,-74.1263817,"[-74.1263817, 40.5949041]"
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg Staten Island Counseling Center,,,,,,,Staten Island,10314.0,Richmond,Children & Adolescents,Community,,,8/1/22,yes,yes,"into novemer, most recent appointment in staten island was Nov 14",15.0,16.0,15.5,3.75,4.0,40.600711,-74.19142529999999,"[-74.19142529999999, 40.600711]"
Jewish Board of Family & Children's Services,Dr. Eugene D. Glynn/YCL Counseling Center,,,,,,,New York,10034.0,New York,Children & Adolescents,Community,,Intake Line,8/1/22,yes,yes,OCtober,9.0,10.0,9.5,2.25,2.5,40.8688715,-73.9166929,"[-73.9166929, 40.8688715]"
Montefiore Medical Center,Child Advocacy Center at Montefiore Children's Hospital,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,Community,3314 Steuben Ave,718-920-5833,,yes,yes,2 months,8.69,8.69,8.69,2.17,2.17,40.8786269,-73.8810718,"[-73.8810718, 40.8786269]"
Montefiore Medical Center,Montefiore Medical Center Child/Adult OPD,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,Community,,718-920-6215,,yes,yes,6 months,26.07,26.07,26.07,6.52,6.52,40.8814842,-73.88072729999999,"[-73.88072729999999, 40.8814842]"
New York Psychotherapy and Counseling Center,East New York Child and Family Mental Health Center,,,,,,,Brooklyn,11208.0,Kings,Children & Adolescents,Community,2857 Linden Blvd,(718) 235-3100,8/1/22,yes,yes,"two intake appointments, third week august two week appointment, assigned by the end of the month, no later",4.0,4.0,4.0,1.0,1.0,40.6703686,-73.8586991,"[-73.8586991, 40.6703686]"
New York Psychotherapy and Counseling Center,Bushwick Child and Family Mental Health Center,,,,,,,Brooklyn,11207.0,Kings,Children & Adolescents,Community,102 Pilling St,(718) 602-1000,8/1/22,yes,yes,"schedule a week out, intake process two weeks, appointment in a week",4.0,4.0,4.0,1.0,1.0,40.6848508,-73.9063638,"[-73.9063638, 40.6848508]"
"Inwood Community Services, Inc.",Alicia M. Ferrer Mental Health Clinic,,,,,,,New York,10034.0,New York,Children & Adolescents,Community,651 ACADEMY ST,212-942-0043,8/1/22,voicemail,,,,,,,,40.866179,-73.9245466,"[-73.9245466, 40.866179]"
Mount Sinai Medical Center,Child and Family Outpatient Clinic,,,,,,,New York,10128.0,New York,Children & Adolescents,Community,1240 park ave,(212) 241-7175,8/1/22,voicemail,,,,,,,,40.7869281,-73.9527205,"[-73.9527205, 40.7869281]"
Montefiore Medical Center,Montefiore Wakefield Mental Health Clinic,,,,,,,Bronx,10466.0,Bronx,Adolescents,Community,,718-304-7050,,,,,,,,,,40.9002893,-73.8577572,"[-73.8577572, 40.9002893]"
"Brooklyn Center for Families in Crisis, Inc.",Brooklyn Center for Families In Crisis,,,,,,,Brooklyn,11230.0,Kings,Children & Adolescents,Community,1309 FOSTER AVE,718-282-0010,8/2/22,yes,yes,2-3 weeks ,1.0,1.0,1.0,0.25,0.25,40.6336115,-73.9645239,"[-73.9645239, 40.6336115]"
"AIDS Center of Queens County, Inc.",ACQC Far Rockaway Clinic Satellite,,,Y,receptionist said they don't see adolescents for mental health therapy,,,Far Rockaway,11691.0,Queens,Adolescents,Community,,(718) 868-8645,8/2/22,yes,,,,,,,,40.6051736,-73.7522446,"[-73.7522446, 40.6051736]"
C.C.M.S.,Clinton Site,,,,,,,Brooklyn,11238.0,Kings,Children & Adolescents,Community,535 Clinton Ave,(718) 704-1986,8/2/22,yes,yes,1-2 months,4.35,8.69,1.0,1.09,2.17,40.6824831,-73.9662477,"[-73.9662477, 40.6824831]"
C.C.M.S.,Crown Heights Mental Health Clinic,,,,,,,Brooklyn,11238.0,Kings,Children & Adolescents,Community,810 Classon,(718) 230-5100,8/2/22,yes,yes,1-2 months,4.35,8.69,1.0,1.09,2.17,40.6727671,-73.9610505,"[-73.9610505, 40.6727671]"
C.C.M.S.,CCM Livingston Street Clinic Satellite,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,Community,285 Livingston Street,(718) 935-9201,8/2/22,yes,yes,1-2 months,4.35,8.69,1.0,1.09,2.17,40.6974582,-73.9860496,"[-73.9860496, 40.6974582]"
C.C.M.S.,Youth and Family Consultation Center,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,Community,25 Elm Place,718-802-0666,8/2/22,yes,yes,1-2 months,4.35,8.69,8.0,2.0,2.0,40.6891504,-73.9840289,"[-73.9840289, 40.6891504]"
Center for Alternative Sentencing & Employmen,Nathaniel Clinic,,,,,,,New York,10027.0,New York,Adolescents,Community,"2090 Adam Clayton Powell, Jr. Boulevard",(212) 553-6708,8/2/22,yes,yes,"after first week in september intake, client will be admitted, day of or day after for getting on schedule, ",6.0,6.0,6.0,1.5,1.5,40.7383715,-74.0038824,"[-74.0038824, 40.7383715]"
Jamaica Hospital Medical Center,Jamaica Hospital Mental Health Clinic,,,,,,,Jamaica,11435.0,Queens,Children & Adolescents,Community,90-09 Van Wyck Expy,718-206-5575,8/2/22,yes,no,no list,,,,,,40.7005559,-73.81492349999999,"[-73.81492349999999, 40.7005559]"
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,,,,,,,Bronx,10463.0,Bronx,Children & Adolescents,Community,,,8/1/22,yes,yes,October,9.0,10.0,9.5,2.25,2.5,40.8897108,-73.9092064,"[-73.9092064, 40.8897108]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,,,,,,,Brooklyn,11205.0,Kings,Children & Adolescents,Community,,"(718) 875-6900, 1001",8/2/22,yes,yes,"1 week for intake, approximately couple weeks after intake for therapy ",3.0,3.0,3.0,0.75,0.75,40.693178,-73.9561454,"[-73.9561454, 40.693178]"
"Brooklyn Center For Psychotherapy, Inc.","Brooklyn Center For Psychotherapy, Inc.",,,,,,,Brooklyn,11217.0,Kings,Children & Adolescents,Community,300 FLATBUSH AVE,718-622-2000,8/2/22,left message with front desk,,,,,,,,40.6781818,-73.97340369999999,"[-73.97340369999999, 40.6781818]"
Jewish Board of Family & Children's Services,Grand Concourse Counseling Center,,,,,,,Bronx,10458.0,Bronx,Children & Adolescents,Community,,Intake Line,8/1/22,yes,yes,into 3rd week in september,7.0,8.0,7.5,1.75,2.0,40.862105,-73.896787,"[-73.896787, 40.862105]"
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg Bronx Consultation Center,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,Community,,,8/2/22,yes,yes,october,9.0,10.0,9.5,2.25,2.5,40.8592899,-73.86547209999999,"[-73.86547209999999, 40.8592899]"
Jewish Board of Family & Children's Services,Seymour Askin Counseling Center,,,,,,,Brooklyn,11223.0,Kings,Children & Adolescents,Community,2020 Coney Island Avenue,718.676.4280,8/3/22,yes,yes,"month to three four months, ",4.35,17.38,10.86,1.0,4.0,40.6080328,-73.9623409,"[-73.9623409, 40.6080328]"
Mount Sinai Medical Center,Adolescent Health Center - Mental Health Clinic,,,,,,,New York,10128.0,New York,Children & Adolescents,Community,312 E 94TH ST,212-241-6500,8/4/22,voicemail,,,,,,,,40.7823328,-73.9471882,"[-73.9471882, 40.7823328]"
"Greenwich House, Inc.",The Center for Resiliency and Wellness,,,,,,,New York,10014.0,New York,Children & Adolescents,Community,27 BARROW ST,212-242-4140,8/4/22,voicemail,,,,,,,,40.7322731,-74.00306590000001,"[-74.00306590000001, 40.7322731]"
